year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,SC,45051,Horry,25958,15158,4591,17.69,15486,6859,3613,59.66,26.42,19417,3656,2781,104,0,74.8,14.08,10.71,11524,2040,1533,61,0,76.03,13.46,10.11,yes
2025,SC,45045,Greenville,23483,14241,3862,16.45,11354,7147,4982,48.35,30.43,17843,3617,1956,67,0,75.98,15.4,8.33,10960,2130,1113,38,0,76.96,14.96,7.82,yes
2025,SC,45019,Charleston,19764,11606,3073,15.55,9192,6498,4074,46.51,32.88,16538,1690,1524,12,0,83.68,8.55,7.71,9831,929,837,9,0,84.71,8.0,7.21,yes
2025,SC,45083,Spartanburg,18162,10852,3211,17.68,10492,4694,2976,57.77,25.85,11488,4653,1754,267,0,63.25,25.62,9.66,6819,2828,1017,188,0,62.84,26.06,9.37,yes
2025,SC,45079,Richland,18654,10401,3184,17.07,9419,6559,2676,50.49,35.16,10637,3416,4573,28,0,57.02,18.31,24.51,6045,1845,2497,14,0,58.12,17.74,24.01,yes
2025,SC,45015,Berkeley,15387,8999,2444,15.88,8846,4557,1984,57.49,29.62,8729,3032,3489,137,0,56.73,19.7,22.67,4863,1878,2166,92,0,54.04,20.87,24.07,yes
2025,SC,45091,York,14789,8940,2278,15.4,6991,4959,2839,47.27,33.53,10897,2338,1486,68,0,73.68,15.81,10.05,6705,1336,858,41,0,75.0,14.94,9.6,yes
2025,SC,45063,Lexington,14575,8577,2349,16.12,7648,4626,2301,52.47,31.74,9564,2716,2169,126,0,65.62,18.63,14.88,5602,1660,1237,78,0,65.31,19.35,14.42,yes
2025,SC,45013,Beaufort,11261,6565,2003,17.79,5885,3121,2255,52.26,27.72,8880,823,1548,10,0,78.86,7.31,13.75,5218,441,898,8,0,79.48,6.72,13.68,yes
2025,SC,45035,Dorchester,9945,5504,1688,16.97,5318,3244,1383,53.47,32.62,5789,1885,2256,15,0,58.21,18.95,22.68,3134,1096,1260,14,0,56.94,19.91,22.89,yes
2025,SC,45007,Anderson,9376,5433,1616,17.24,4832,2886,1658,51.54,30.78,6355,1918,956,147,0,67.78,20.46,10.2,3633,1139,562,99,0,66.87,20.96,10.34,yes
2025,SC,45003,Aiken,8090,4659,1397,17.27,4483,2349,1258,55.41,29.04,5106,1633,1226,125,0,63.11,20.19,15.15,2902,943,732,82,0,62.29,20.24,15.71,yes
2025,SC,45057,Lancaster,5968,3547,983,16.47,3005,1805,1158,50.35,30.24,4460,918,552,38,0,74.73,15.38,9.25,2669,518,336,24,0,75.25,14.6,9.47,yes
2025,SC,45077,Sumter,5128,2960,903,17.61,2650,1482,996,51.68,28.9,3737,917,431,43,0,72.87,17.88,8.4,2122,541,270,27,0,71.69,18.28,9.12,yes
2025,SC,45041,Florence,4754,2332,1133,23.83,2828,1346,580,59.49,28.31,2993,1131,593,37,0,62.96,23.79,12.47,1397,603,312,20,0,59.91,25.86,13.38,yes
2025,SC,45085,,3943,2060,763,19.35,2216,1303,424,56.2,33.05,2009,620,1307,7,0,50.95,15.72,33.15,914,331,809,6,0,44.37,16.07,39.27,yes
2025,SC,45073,Pickens,3441,2006,614,17.84,1784,1012,645,51.85,29.41,2592,470,339,40,0,75.33,13.66,9.85,1497,264,215,30,0,74.63,13.16,10.72,yes
2025,SC,45055,Kershaw,3195,1732,598,18.72,1695,1071,429,53.05,33.52,1619,648,865,63,0,50.67,20.28,27.07,840,350,502,40,0,48.5,20.21,28.98,yes
2025,SC,45059,Laurens,3274,1714,785,23.98,2115,699,460,64.6,21.35,2044,878,288,64,0,62.43,26.82,8.8,976,531,163,44,0,56.94,30.98,9.51,yes
2025,SC,45053,Jasper,2882,1574,579,20.09,2066,524,292,71.69,18.18,2085,382,411,4,0,72.35,13.25,14.26,1100,199,271,4,0,69.89,12.64,17.22,yes
2025,SC,45043,Georgetown,2719,1475,537,19.75,1488,791,440,54.73,29.09,2231,277,205,6,0,82.05,10.19,7.54,1235,129,110,1,0,83.73,8.75,7.46,yes
