year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,SC,549300FGXN1K3HLB1R50,,13584,9760,Greenville:1028; Horry:996; 45091:912; Charleston:682; 45083:663,7086,1605,1069,0,0,72.6,16.44,10.95,yes
2025,SC,549300HW662MN1WU8550,,9236,6429,45091:613; Greenville:564; Richland:509; Horry:494; 45083:481,2916,1576,1914,23,0,45.36,24.51,29.77,yes
2025,SC,5493001SXWZ4OFP8Z903,,6184,4153,Horry:1044; 45015:564; 45083:560; Greenville:388; Charleston:209,1315,1795,933,110,0,31.66,43.22,22.47,yes
2025,SC,L9VVX1KT5TFTKS0MLF66,,5399,3577,Charleston:486; Richland:453; 45063:289; Greenville:282; 45083:263,3475,75,22,5,0,97.15,2.1,0.62,yes
2025,SC,549300DD4R4SYK5RAQ92,,4069,2978,45091:389; 45013:267; Horry:256; 45057:224; 45083:207,1876,669,405,28,0,63.0,22.46,13.6,yes
2025,SC,8I3UVGYULPJQIP7FQV10,,4350,2816,Charleston:426; Greenville:292; 45013:256; 45091:233; Horry:197,2643,124,30,19,0,93.86,4.4,1.07,yes
2025,SC,549300H3IZO24NSOO931,,3802,2694,45015:519; Horry:497; 45035:460; 45083:238; Greenville:217,1543,724,400,27,0,57.28,26.87,14.85,yes
2025,SC,549300AG64NHILB7ZP05,,4060,2670,45083:447; Horry:436; Greenville:270; 45091:206; 45015:153,1486,861,317,6,0,55.66,32.25,11.87,yes
2025,SC,549300AQ3T62GXDU7D76,,3870,2670,Richland:640; 45063:553; 45003:289; Horry:145; 45055:101,1622,703,303,42,0,60.75,26.33,11.35,yes
2025,SC,5493003GQDUH26DNNH17,,5424,2487,45015:311; Charleston:263; Richland:256; 45035:237; 45013:214,1856,0,631,0,0,74.63,0.0,25.37,yes
2025,SC,5493000YNV8IX4VD3X12,,12272,2449,45063:397; Richland:321; 45083:312; Horry:208; 45015:206,1649,457,318,25,0,67.33,18.66,12.98,yes
2025,SC,549300DD5QQUHO6PCH70,,5189,2333,Richland:255; Horry:189; 45015:157; Greenville:153; 45083:144,93,64,2172,4,0,3.99,2.74,93.1,yes
2025,SC,549300VZVN841I2ILS84,,3653,2233,45063:255; Greenville:243; Horry:185; Charleston:166; Richland:159,1226,643,336,28,0,54.9,28.8,15.05,yes
2025,SC,RVDPPPGHCGZ40J4VQ731,,4524,2199,Greenville:235; Horry:200; 45091:176; Richland:172; Charleston:161,1123,591,483,2,0,51.07,26.88,21.96,yes
2025,SC,JJKC32MCHWDI71265Z06,,4366,2178,Greenville:346; Horry:268; 45083:238; Charleston:177; 45063:159,2101,46,28,3,0,96.46,2.11,1.29,yes
2025,SC,549300LYRWPSYPK6S325,,5296,2168,Richland:259; 45015:235; Horry:171; Greenville:166; 45063:154,195,746,1227,0,0,8.99,34.41,56.6,yes
2025,SC,B4TYDEB6GKMZO031MB27,,5009,2119,Charleston:307; 45091:235; Greenville:233; Horry:215; Richland:176,2098,19,2,0,0,99.01,0.9,0.09,yes
