year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,SD,46099,Minnehaha,6887,4705,770,11.18,3553,2224,1110,51.59,32.29,5327,1014,536,10,0,77.35,14.72,7.78,3729,631,337,8,0,79.26,13.41,7.16,national
2025,SD,46103,Pennington,4142,2661,545,13.16,2194,1338,610,52.97,32.3,2585,649,845,63,0,62.41,15.67,20.4,1659,413,544,45,0,62.34,15.52,20.44,national
2025,SD,46083,Lincoln,2797,2011,252,9.01,1432,904,461,51.2,32.32,2193,307,280,17,0,78.41,10.98,10.01,1605,213,183,10,0,79.81,10.59,9.1,national
2025,SD,46093,Meade,1130,742,144,12.74,500,451,179,44.25,39.91,687,148,278,17,0,60.8,13.1,24.6,458,92,179,13,0,61.73,12.4,24.12,national
2025,SD,46081,Lawrence,1086,678,140,12.89,509,373,204,46.87,34.35,884,106,89,7,0,81.4,9.76,8.2,560,61,53,4,0,82.6,9.0,7.82,national
2025,SD,46029,Codington,841,595,97,11.53,407,273,161,48.39,32.46,628,116,78,19,0,74.67,13.79,9.27,464,78,37,16,0,77.98,13.11,6.22,national
2025,SD,46011,Brookings,744,519,78,10.48,426,184,134,57.26,24.73,594,70,74,6,0,79.84,9.41,9.95,419,42,54,4,0,80.73,8.09,10.4,national
2025,SD,46013,Brown,703,460,94,13.37,388,194,121,55.19,27.6,494,121,66,22,0,70.27,17.21,9.39,325,76,41,18,0,70.65,16.52,8.91,national
2025,SD,46127,Union,520,350,65,12.5,250,191,79,48.08,36.73,401,60,55,4,0,77.12,11.54,10.58,285,34,29,2,0,81.43,9.71,8.29,national
2025,SD,46035,Davison,492,346,55,11.18,234,183,75,47.56,37.2,383,72,32,5,0,77.85,14.63,6.5,277,43,21,5,0,80.06,12.43,6.07,national
2025,SD,46135,Yankton,526,343,70,13.31,296,160,70,56.27,30.42,380,87,48,11,0,72.24,16.54,9.13,265,50,22,6,0,77.26,14.58,6.41,national
2025,SD,46065,Hughes,471,299,60,12.74,262,128,81,55.63,27.18,343,74,46,8,0,72.82,15.71,9.77,222,44,27,6,0,74.25,14.72,9.03,national
2025,SD,46079,Lake,370,262,49,13.24,176,122,72,47.57,32.97,285,39,43,3,0,77.03,10.54,11.62,207,23,30,2,0,79.01,8.78,11.45,national
2025,SD,46027,Clay,384,244,66,17.19,212,116,56,55.21,30.21,315,35,30,4,0,82.03,9.11,7.81,203,19,19,3,0,83.2,7.79,7.79,national
2025,SD,46019,Butte,381,235,59,15.49,191,129,61,50.13,33.86,233,68,70,10,0,61.15,17.85,18.37,143,44,42,6,0,60.85,18.72,17.87,national
2025,SD,46033,,359,225,61,16.99,148,118,93,41.23,32.87,275,36,47,1,0,76.6,10.03,13.09,173,17,34,1,0,76.89,7.56,15.11,national
2025,SD,46047,,334,192,63,18.86,144,118,72,43.11,35.33,226,40,62,6,0,67.66,11.98,18.56,129,22,36,5,0,67.19,11.46,18.75,national
2025,SD,46125,,298,189,50,16.78,134,118,46,44.97,39.6,209,52,32,5,0,70.13,17.45,10.74,142,27,16,4,0,75.13,14.29,8.47,national
2025,SD,46005,,308,187,51,16.56,186,83,39,60.39,26.95,205,77,21,5,0,66.56,25.0,6.82,131,43,11,2,0,70.05,22.99,5.88,national
