lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,tennessee_originations,florida_originations,total_originations,priority_match,notes
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,tn_deepen+tn_deepen_gleif_reidentify+public_nmls,11919,0,11919,high,tn_deepen map for TN activity (11919 TN originations); slug=rocket-mortgage.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,tn_deepen+tn_deepen_gleif_reidentify+public_nmls,8992,0,8992,high,tn_deepen map for TN activity (8992 TN originations); slug=united-wholesale-mortgage.
EQTWLK1G7ODGC2MGLV11,Regions Bank,467341,regions-bank,Regions Bank,high,tn_deepen+tn_deepen_gleif_reidentify+public_nmls,5322,0,5322,high,tn_deepen map for TN activity (5322 TN originations); slug=regions-bank.
549300OBO7DOF2KOP535,FirstBank,472433,firstbank-tennessee,FirstBank,high,tn_deepen+tn_deepen_gleif+public_nmls,4089,0,4089,high,tn_deepen map for TN activity (4089 TN originations); slug=firstbank-tennessee.
549300GKFNPRWNS0GF29,"AmeriHome Mortgage Company, LLC",1120271,amerihome-mortgage,"AmeriHome Mortgage Company, LLC",high,tn_deepen+tn_deepen_gleif_reidentify+public_nmls,3925,0,3925,high,tn_deepen map for TN activity (3925 TN originations); slug=amerihome-mortgage.
549300DD5QQUHO6PCH70,"MORTGAGE RESEARCH CENTER, LLC",1907,veterans-united-west-valley,"Mortgage Research Center, LLC (Veterans United Home Loans)",high,tn_deepen+tn_deepen_gleif_reidentify+public_nmls,3178,0,3178,high,tn_deepen map for TN activity (3178 TN originations); slug=veterans-united-west-valley.
549300VNBQD8FDHF7563,"MORTGAGE INVESTORS GROUP, INC.",34391,mortgage-investors-group-knoxville,"Mortgage Investors Group, Inc.",high,tn_deepen+tn_deepen_gleif+public_nmls,3148,0,3148,high,tn_deepen map for TN activity (3148 TN originations); slug=mortgage-investors-group-knoxville.
549300DDLYW49R2HCV81,EASTMAN CREDIT UNION,,eastman-credit-union,Eastman Credit Union,high,tn_deepen+tn_deepen_gleif+tn_directory,2854,0,2854,high,tn_deepen map for TN activity (2854 TN originations); slug=eastman-credit-union.
549300CDOC4F7XSRG390,Pinnacle Bank,418535,pinnacle-bank,Pinnacle Bank,high,tn_deepen+tn_deepen_gleif+public_nmls,2808,0,2808,high,tn_deepen map for TN activity (2808 TN originations); slug=pinnacle-bank.
RVDPPPGHCGZ40J4VQ731,"PENNYMAC LOAN SERVICES, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,tn_deepen+tn_deepen_gleif_reidentify+public_nmls,2566,0,2566,high,tn_deepen map for TN activity (2566 TN originations); slug=pennymac.
COOWI3L2W9TPYR3WJX37,First Horizon Bank,,first-horizon-bank,First Horizon Bank,high,tn_deepen+tn_deepen_gleif+directory_slug,2513,0,2513,high,tn_deepen map for TN activity (2513 TN originations); slug=first-horizon-bank.
549300R0SXC1JU7ZU290,"FIRST COMMUNITY MORTGAGE, INC.",629700,first-community-mortgage,"First Community Mortgage, Inc.",high,tn_deepen+tn_deepen_gleif+public_nmls,2461,0,2461,high,tn_deepen map for TN activity (2461 TN originations); slug=first-community-mortgage.
549300LYRWPSYPK6S325,FREEDOM MORTGAGE CORPORATION,2767,freedom-mortgage,Freedom Mortgage Corporation,high,tn_deepen+tn_deepen_gleif_reidentify+public_nmls,2436,0,2436,high,tn_deepen map for TN activity (2436 TN originations); slug=freedom-mortgage.
549300VZVN841I2ILS84,"CROSSCOUNTRY MORTGAGE, LLC",3029,crosscountry-mortgage-charlotte,"CrossCountry Mortgage, LLC",high,tn_deepen+tn_deepen_gleif_reidentify+public_nmls,2251,0,2251,high,tn_deepen map for TN activity (2251 TN originations); slug=crosscountry-mortgage-charlotte.
549300DD4R4SYK5RAQ92,"MOVEMENT MORTGAGE, LLC",39179,movement-mortgage-charlotte,"Movement Mortgage, LLC",high,tn_deepen+tn_deepen_gleif_reidentify+public_nmls,2207,0,2207,high,tn_deepen map for TN activity (2207 TN originations); slug=movement-mortgage-charlotte.
5493001SXWZ4OFP8Z903,"DHI MORTGAGE COMPANY, LTD.",14622,dhi-mortgage-buckeye,"DHI Mortgage Company, Ltd.",high,tn_deepen+tn_deepen_gleif_reidentify+directory_slug,2122,0,2122,high,tn_deepen map for TN activity (2122 TN originations); slug=dhi-mortgage-buckeye.
JJKC32MCHWDI71265Z06,Truist Bank,405457,truist-bank,Truist Bank,high,tn_deepen+tn_deepen_gleif_reidentify+public_nmls,2014,0,2014,high,tn_deepen map for TN activity (2014 TN originations); slug=truist-bank.
549300AG64NHILB7ZP05,"LOANDEPOT.COM, LLC",174457,loandepot,"loanDepot.com, LLC",high,tn_deepen+tn_deepen_gleif_reidentify+public_nmls,1915,0,1915,high,tn_deepen map for TN activity (1915 TN originations); slug=loandepot.
5493003GQDUH26DNNH17,Navy Federal Credit Union,399807,navy-federal-jacksonville,Navy Federal Credit Union,high,tn_deepen+tn_deepen_gleif_reidentify+public_nmls,1902,0,1902,high,tn_deepen map for TN activity (1902 TN originations); slug=navy-federal-jacksonville.
549300U3721PJGQZYY68,"GUARANTEED RATE, INC.",2611,guaranteed-rate,"Guaranteed Rate, Inc.",high,tn_deepen+tn_deepen_gleif_reidentify+public_nmls,1868,0,1868,high,tn_deepen map for TN activity (1868 TN originations); slug=guaranteed-rate.
6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,402216,us-bank,U.S. Bank National Association,high,tn_deepen+tn_deepen_gleif_reidentify+public_nmls,1844,0,1844,high,tn_deepen map for TN activity (1844 TN originations); slug=us-bank.
54930074H8866HTIWU69,KNOXVILLE TVA EMPLOYEES CREDIT UNION,167911,knoxville-tva-employees-credit-union,Knoxville TVA Employees Credit Union,high,tn_deepen+tn_deepen_gleif+public_nmls,1808,0,1808,high,tn_deepen map for TN activity (1808 TN originations); slug=knoxville-tva-employees-credit-union.
549300E1PJPTI4YS7H26,ASCEND FEDERAL CREDIT UNION,451452,ascend-federal-credit-union,Ascend Federal Credit Union,high,tn_deepen+tn_deepen_gleif+public_nmls,1801,0,1801,high,tn_deepen map for TN activity (1801 TN originations); slug=ascend-federal-credit-union.
Q7C315HKI8VX0SSKBS64,Cadence Bank,402436,cadence-bank,Cadence Bank,high,tn_deepen+tn_deepen_gleif+public_nmls,1772,0,1772,high,tn_deepen map for TN activity (1772 TN originations); slug=cadence-bank.
549300MGPZBLQDIL7538,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,2909,fairway-mortgage-augusta-sheppard,Fairway Independent Mortgage Corporation,high,tn_deepen+tn_deepen_gleif_reidentify+public_nmls,1593,0,1593,high,tn_deepen map for TN activity (1593 TN originations); slug=fairway-mortgage-augusta-sheppard.
549300E2UX99HKDBR481,"NEW AMERICAN FUNDING, LLC",6606,new-american-funding,"New American Funding, LLC",high,tn_deepen+tn_deepen_gleif_reidentify+public_nmls,1519,0,1519,high,tn_deepen map for TN activity (1519 TN originations); slug=new-american-funding.
5493000YNV8IX4VD3X12,"VANDERBILT MORTGAGE AND FINANCE, INC.",1561,silverton-mortgage-myrtle-beach,"Vanderbilt Mortgage and Finance, Inc. (dba Silverton Mortgage)",high,tn_deepen+tn_deepen_gleif+silverton_dba+public_nmls,1509,0,1509,high,tn_deepen map for TN activity (1509 TN originations); slug=silverton-mortgage-myrtle-beach.
254900FJRICL380R4T46,Leaders Credit Union,402804,leaders-credit-union,Leaders Credit Union,high,tn_deepen+tn_deepen_gleif+public_nmls+tn_directory,1505,0,1505,high,tn_deepen map for TN activity (1505 TN originations); slug=leaders-credit-union.
B4TYDEB6GKMZO031MB27,"Bank of America, National Association",399802,bank-of-america-mortgage-north-dfw,"Bank of America, National Association",high,tn_deepen+tn_deepen_gleif_reidentify+public_nmls,1499,0,1499,high,tn_deepen map for TN activity (1499 TN originations); slug=bank-of-america-mortgage-north-dfw.
549300LBCBNR1OT00651,NATIONSTAR MORTGAGE LLC,2104,mr-cooper,Nationstar Mortgage LLC,high,tn_deepen+tn_deepen_gleif_reidentify+public_nmls,1452,0,1452,high,tn_deepen map for TN activity (1452 TN originations); slug=mr-cooper.
549300RPOGWJRH63HS39,UNION HOME MORTGAGE CORP.,1904,union-home-mortgage-reeves-team,Union Home Mortgage Corp.,high,tn_deepen+tn_deepen_gleif_reidentify+public_nmls,1404,0,1404,high,tn_deepen map for TN activity (1404 TN originations); slug=union-home-mortgage-reeves-team.
549300FNXYY540N23N64,Newrez LLC,2289,newrez,Newrez LLC,high,tn_deepen+tn_deepen_gleif_reidentify+public_nmls,1361,0,1361,high,tn_deepen map for TN activity (1361 TN originations); slug=newrez.
254900PVWALA7JTBXA31,WILSON BANK AND TRUST,767482,wilson-bank-and-trust,Wilson Bank and Trust,high,tn_deepen+tn_deepen_gleif+public_nmls,1338,0,1338,high,tn_deepen map for TN activity (1338 TN originations); slug=wilson-bank-and-trust.
7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",399798,jpmorgan-chase-bank,"JPMorgan Chase Bank, National Association",high,tn_deepen+tn_deepen_gleif_reidentify+public_nmls,1224,0,1224,high,tn_deepen map for TN activity (1224 TN originations); slug=jpmorgan-chase-bank.
5493001UYBOONMFYPR30,"Legacy Home Loans, LLC",,legacy-home-loans,"Legacy Home Loans, LLC",high,regional_quality_gleif+directory_slug,1171,0,1171,high,regional_quality map for TN activity (1171 TN originations); slug=legacy-home-loans.
549300K6L4VXCXWN4205,ORNL,,ornl-federal-credit-union,ORNL Federal Credit Union,high,tn_deepen+tn_deepen_gleif+tn_directory,1114,0,1114,high,tn_deepen map for TN activity (1114 TN originations); slug=ornl-federal-credit-union.
T68X8LLAQYRNDV034K14,United Community Bank,421841,united-community-bank,United Community Bank,high,tn_deepen+tn_deepen_gleif+public_nmls,1055,0,1055,high,tn_deepen map for TN activity (1055 TN originations); slug=united-community-bank.
5493007669OVCSCATP45,TENNESSEE VALLEY FCU,460298,tennessee-valley-federal-credit-union,Tennessee Valley Federal Credit Union,high,tn_deepen+tn_deepen_gleif+public_nmls,1012,0,1012,high,tn_deepen map for TN activity (1012 TN originations); slug=tennessee-valley-federal-credit-union.
54930059GZZ7G4G40O53,Primis Mortgage Company,1894879,primis-mortgage,Primis Mortgage Company,high,regional_quality_gleif+public_nmls,1004,0,1004,high,regional_quality map for TN activity (1004 TN originations); slug=primis-mortgage.
549300AT7EB9FJAF0E61,Old National Bank,,old-national-bank,Old National Bank,high,tn_deepen+tn_deepen_gleif+directory_slug,999,0,999,high,tn_deepen map for TN activity (999 TN originations); slug=old-national-bank.
QFROUN1UWUYU0DVIWD51,"Eagle Home Mortgage, LLC",2925,eagle-home-mortgage,"Eagle Home Mortgage, LLC",high,tn_deepen+tn_deepen_gleif_reidentify+public_nmls,971,0,971,high,tn_deepen map for TN activity (971 TN originations); slug=eagle-home-mortgage.
5493004NO7XCFVG4KD53,Y-12 Federal Credit Union,441816,y-12-federal-credit-union,Y-12 Federal Credit Union,high,regional_quality_gleif+public_nmls,965,0,965,high,regional_quality map for TN activity (965 TN originations); slug=y-12-federal-credit-union.
5493002RF1ERFA2XR050,Renasant Bank,,renasant-bank,Renasant Bank,high,tn_deepen+tn_deepen_gleif+directory_slug,941,0,941,high,tn_deepen map for TN activity (941 TN originations); slug=renasant-bank.
549300KIOYNU323LVJ37,AMERICAN PACIFIC MORTGAGE CORPORATION,1850,american-pacific-mortgage-inland-empire,American Pacific Mortgage Corporation,high,tn_deepen+tn_deepen_gleif_reidentify+public_nmls,854,0,854,high,tn_deepen map for TN activity (854 TN originations); slug=american-pacific-mortgage-inland-empire.
549300YIQ7S7Z8PIHE53,AMERISAVE MORTGAGE CORPORATION,1168,amerisave,Amerisave Mortgage Corporation,high,tn_deepen+tn_deepen_gleif_reidentify+public_nmls,839,0,839,high,tn_deepen map for TN activity (839 TN originations); slug=amerisave.
5493001M37Q8TJKTP708,Home Federal Bank of Tennessee,,home-federal-bank-tennessee,Home Federal Bank of Tennessee,high,regional_quality_gleif+directory_slug,826,0,826,high,regional_quality map for TN activity (826 TN originations); slug=home-federal-bank-tennessee.
