lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,texas_originations,florida_originations,total_originations,priority_match,notes
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_fl_curated_lei+curated_lei_public_nmls,42285,49897,42285,high,Reused FL LEI→slug map for TX activity (42285 TX originations); slug=united-wholesale-mortgage.
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_fl_curated_lei+curated_lei_public_nmls,30579,31530,30579,high,Reused FL LEI→slug map for TX activity (30579 TX originations); slug=rocket-mortgage.
5493001SXWZ4OFP8Z903,"CrossCountry Mortgage, LLC",3029,crosscountry-mortgage-west-valley,CrossCountry Mortgage (West Valley),high,reuse_fl_curated_lei+curated_lei+directory_name,17748,11582,17748,high,Reused FL LEI→slug map for TX activity (17748 TX originations); slug=crosscountry-mortgage-west-valley.
549300H3IZO24NSOO931,"loanDepot.com, LLC",174457,loandepot,"loanDepot.com, LLC",high,reuse_fl_curated_lei+curated_lei_public_nmls,15642,10692,15642,high,Reused FL LEI→slug map for TX activity (15642 TX originations); slug=loandepot.
549300GKFNPRWNS0GF29,"AmeriHome Mortgage Company, LLC",1120271,amerihome-mortgage,"AmeriHome Mortgage Company, LLC",high,reuse_fl_curated_lei+curated_lei_public_nmls,10655,4388,10655,high,Reused FL LEI→slug map for TX activity (10655 TX originations); slug=amerihome-mortgage.
7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",399798,jpmorgan-chase-bank,"JPMorgan Chase Bank, National Association",high,reuse_fl_curated_lei+curated_lei_public_nmls,9775,6131,9775,high,Reused FL LEI→slug map for TX activity (9775 TX originations); slug=jpmorgan-chase-bank.
549300AG64NHILB7ZP05,"PennyMac Loan Services, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,reuse_fl_curated_lei+curated_lei_public_nmls,8535,7460,8535,high,Reused FL LEI→slug map for TX activity (8535 TX originations); slug=pennymac.
549300VZVN841I2ILS84,Freedom Mortgage Corporation,2767,freedom-mortgage,Freedom Mortgage Corporation,high,reuse_fl_curated_lei+curated_lei_public_nmls,7734,11987,7734,high,Reused FL LEI→slug map for TX activity (7734 TX originations); slug=freedom-mortgage.
549300MGPZBLQDIL7538,"PrimeLending, a PlainsCapital Company",1921,primelending-columbus,PrimeLending — Columbus Team,high,reuse_fl_curated_lei+curated_lei+directory_name,7468,3153,7468,high,Reused FL LEI→slug map for TX activity (7468 TX originations); slug=primelending-columbus.
549300DD5QQUHO6PCH70,"Movement Mortgage, LLC",39179,movement-mortgage-myrtle-beach,Movement Mortgage — Myrtle Beach,high,reuse_fl_curated_lei+curated_lei+directory_name,6918,5506,6918,high,Reused FL LEI→slug map for TX activity (6918 TX originations); slug=movement-mortgage-myrtle-beach.
549300AQ3T62GXDU7D76,Ally Bank,181005,ally-bank,Ally Bank,high,reuse_fl_curated_lei+curated_lei_public_nmls,6877,2790,6877,high,Reused FL LEI→slug map for TX activity (6877 TX originations); slug=ally-bank.
RVDPPPGHCGZ40J4VQ731,Fairway Independent Mortgage Corporation,2909,fairway-mortgage-augusta-sheppard,Fairway Independent Mortgage — Augusta (Sheppard Team),high,reuse_fl_curated_lei+curated_lei+directory_name,6849,9704,6849,high,Reused FL LEI→slug map for TX activity (6849 TX originations); slug=fairway-mortgage-augusta-sheppard.
549300XQVJ1XBNFA5536,21ST MORTGAGE CORPORATION,2280,21st-mortgage,21st Mortgage Corporation,medium,reuse_fl_curated_lei+curated_public_nmls+directory_profile,6763,2098,6763,high,Reused FL LEI→slug map for TX activity (6763 TX originations); slug=21st-mortgage.
549300121SF0K2LN2804,"PRIMELENDING, A PLAINSCAPITAL COMPANY",1921,primelending-columbus,PrimeLending — Columbus Team,high,reuse_fl_curated_lei+gleif_name_to_directory,6358,931,6358,high,Reused FL LEI→slug map for TX activity (6358 TX originations); slug=primelending-columbus.
B4TYDEB6GKMZO031MB27,"Guaranteed Rate, Inc.",2611,guaranteed-rate,"Guaranteed Rate, Inc.",high,reuse_fl_curated_lei+curated_lei_public_nmls,6141,7938,6141,high,Reused FL LEI→slug map for TX activity (6141 TX originations); slug=guaranteed-rate.
549300LYRWPSYPK6S325,Guild Mortgage Company LLC,3274,guild-mortgage-west-valley,Guild Mortgage (West Valley Branches),high,reuse_fl_curated_lei+curated_lei+directory_name,5759,5374,5759,high,Reused FL LEI→slug map for TX activity (5759 TX originations); slug=guild-mortgage-west-valley.
549300E2UX99HKDBR481,"Broker Solutions, Inc.",6606,new-american-funding,"Broker Solutions, Inc.",high,reuse_fl_curated_lei+curated_lei_public_nmls,5508,3881,5508,high,Reused FL LEI→slug map for TX activity (5508 TX originations); slug=new-american-funding.
549300FNXYY540N23N64,Newrez LLC,2289,newrez,Newrez LLC,high,reuse_fl_curated_lei+curated_lei_public_nmls,4793,5643,4793,high,Reused FL LEI→slug map for TX activity (4793 TX originations); slug=newrez.
5493003GQDUH26DNNH17,Navy Federal Credit Union,399807,navy-federal-jacksonville,Navy Federal Credit Union (Jacksonville Area),high,reuse_fl_curated_lei+curated_lei+directory_name,4267,8416,4267,high,Reused FL LEI→slug map for TX activity (4267 TX originations); slug=navy-federal-jacksonville.
549300LBCBNR1OT00651,NATIONSTAR MORTGAGE LLC,2104,mr-cooper,Nationstar Mortgage LLC,high,reuse_fl_curated_lei+curated_lei_public_nmls,3609,3546,3609,high,Reused FL LEI→slug map for TX activity (3609 TX originations); slug=mr-cooper.
254900DTLHVWQ7NP7R34,"CMG Mortgage, Inc.",2458338,cmg-home-loans-dennis-vo,CMG Home Loans (Dennis Vo Team),high,reuse_fl_curated_lei+curated_lei+directory_name,3502,4627,3502,high,Reused FL LEI→slug map for TX activity (3502 TX originations); slug=cmg-home-loans-dennis-vo.
549300U3721PJGQZYY68,Nationstar Mortgage LLC,2104,mr-cooper,Nationstar Mortgage LLC,high,reuse_fl_curated_lei+curated_lei_public_nmls,3318,3204,3318,high,Reused FL LEI→slug map for TX activity (3318 TX originations); slug=mr-cooper.
254900ZFWS2106HWPH46,"PARAMOUNT RESIDENTIAL MORTGAGE GROUP, INC.",75243,prmg,Paramount Residential Mortgage Group (PRMG),medium,reuse_fl_curated_lei+gleif_name_to_directory,3136,3741,3136,high,Reused FL LEI→slug map for TX activity (3136 TX originations); slug=prmg.
5493004WMLN60ZJ2ON46,"Paramount Residential Mortgage Group, Inc.",75243,prmg,Paramount Residential Mortgage Group (PRMG),high,reuse_fl_curated_lei+curated_lei+directory_name,3108,4200,3108,high,Reused FL LEI→slug map for TX activity (3108 TX originations); slug=prmg.
AD6GFRVSDT01YPT1CS68,"PNC Bank, National Association",446038,pnc-bank,"PNC Bank, National Association",high,reuse_fl_curated_lei+curated_lei_public_nmls,2930,3475,2930,high,Reused FL LEI→slug map for TX activity (2930 TX originations); slug=pnc-bank.
