year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,TX,48027,Bell,5493001SXWZ4OFP8Z903,,1206,870,111,9.27,67,249,881,9,0,48,167,649,6,0,yes
2025,TX,48027,Bell,549300MGPZBLQDIL7538,,1126,869,32,9.26,367,231,526,2,0,272,179,416,2,0,yes
2025,TX,48027,Bell,549300HW662MN1WU8550,,869,627,95,6.68,222,80,565,2,0,149,54,423,1,0,yes
2025,TX,48027,Bell,549300DD5QQUHO6PCH70,,932,522,138,5.56,25,39,868,0,0,16,16,490,0,0,yes
2025,TX,48027,Bell,549300FGXN1K3HLB1R50,,653,392,178,4.18,496,43,114,0,0,289,23,80,0,0,yes
2025,TX,48027,Bell,5493006KQF5UKZ3Y9N07,,428,346,4,3.69,112,97,218,1,0,86,81,178,1,0,yes
2025,TX,48027,Bell,549300PBTV7FCWLSMM53,,323,242,4,2.58,7,9,307,0,0,3,4,235,0,0,yes
2025,TX,48027,Bell,5493003GQDUH26DNNH17,,564,209,146,2.23,342,0,222,0,0,112,0,97,0,0,yes
2025,TX,48027,Bell,549300GKFNPRWNS0GF29,,265,195,10,2.08,74,74,102,15,0,48,54,84,9,0,yes
2025,TX,48027,Bell,Q7C315HKI8VX0SSKBS64,,298,192,58,2.05,241,14,43,0,0,162,11,19,0,0,yes
2025,TX,48027,Bell,549300BDFK1ZR5QSYO15,,318,191,80,2.04,318,0,0,0,0,191,0,0,0,0,yes
2025,TX,48027,Bell,549300LYRWPSYPK6S325,,447,189,31,2.01,66,51,330,0,0,27,21,141,0,0,yes
2025,TX,48027,Bell,549300UK9R93LGQHOV21,,201,180,1,1.92,17,76,108,0,0,17,64,99,0,0,yes
2025,TX,48027,Bell,549300DMYENRV818D594,,198,158,5,1.68,45,43,110,0,0,33,36,89,0,0,yes
2025,TX,48027,Bell,RVDPPPGHCGZ40J4VQ731,,312,156,30,1.66,112,39,160,1,0,60,17,78,1,0,yes
2025,TX,48027,Bell,254900H565SUNWJ0IV44,,181,147,0,1.57,23,43,111,4,0,21,38,85,3,0,yes
2025,TX,48027,Bell,549300FNXYY540N23N64,,327,121,66,1.29,168,18,141,0,0,44,5,72,0,0,yes
2025,TX,48027,Bell,5493001GDRY0EL7VG372,,153,117,7,1.25,38,42,73,0,0,32,29,56,0,0,yes
2025,TX,48027,Bell,549300F7S6KEMTKK0546,,169,112,16,1.19,145,6,18,0,0,94,6,12,0,0,yes
2025,TX,48027,Bell,549300LBCBNR1OT00651,,161,109,21,1.16,126,7,28,0,0,79,5,25,0,0,yes
2025,TX,48027,Bell,549300CY7WNAHKHYSJ73,,115,107,0,1.14,6,1,108,0,0,5,1,101,0,0,yes
2025,TX,48027,Bell,549300H3IZO24NSOO931,,141,104,25,1.11,33,68,37,3,0,30,53,18,3,0,yes
2025,TX,48027,Bell,549300VZVN841I2ILS84,,131,89,5,0.95,44,18,69,0,0,18,13,58,0,0,yes
2025,TX,48027,Bell,549300QJOGSPJ8EAX798,,92,83,0,0.88,88,0,4,0,0,80,0,3,0,0,yes
2025,TX,48027,Bell,549300E2UX99HKDBR481,,170,80,14,0.85,83,28,58,1,0,25,14,40,1,0,yes
2025,TX,48027,Bell,549300FX7K8PTEQUU487,,191,74,71,0.79,153,2,36,0,0,58,0,16,0,0,yes
2025,TX,48027,Bell,549300AQ3T62GXDU7D76,,104,70,4,0.75,48,23,29,4,0,31,19,18,2,0,yes
2025,TX,48027,Bell,549300AG64NHILB7ZP05,,144,67,42,0.71,112,14,17,1,0,52,5,9,1,0,yes
2025,TX,48027,Bell,549300OPCWU6E72WUT29,,99,66,3,0.7,25,20,54,0,0,15,12,39,0,0,yes
2025,TX,48027,Bell,549300XQVJ1XBNFA5536,,298,65,128,0.69,298,0,0,0,0,65,0,0,0,0,yes
2025,TX,48027,Bell,549300C20KZIWPASBC15,,82,61,0,0.65,2,28,51,1,0,2,25,34,0,0,yes
2025,TX,48027,Bell,254900CTT87ZKAUTIJ37,,76,57,8,0.61,76,0,0,0,0,57,0,0,0,0,yes
2025,TX,48027,Bell,549300NOCASXPA34X033,,236,57,124,0.61,89,38,109,0,0,12,12,33,0,0,yes
2025,TX,48027,Bell,7H6GLXDRUGQFU57RNE97,,101,55,11,0.59,87,9,5,0,0,50,2,3,0,0,yes
2025,TX,48027,Bell,549300JYXTZDSPJEPI44,,81,52,22,0.55,14,13,54,0,0,11,8,33,0,0,yes
2025,TX,48027,Bell,C5654JQHZUHN0772B561,,89,45,24,0.48,14,0,75,0,0,6,0,39,0,0,yes
2025,TX,48027,Bell,254900DTLHVWQ7NP7R34,,56,42,5,0.45,48,5,3,0,0,38,2,2,0,0,yes
2025,TX,48027,Bell,549300AZ4UOXI3Q53W34,,100,42,45,0.45,99,1,0,0,0,41,1,0,0,0,yes
2025,TX,48027,Bell,549300LU6Y2TXG48QY48,,84,42,10,0.45,83,1,0,0,0,41,1,0,0,0,yes
2025,TX,48027,Bell,549300VCMRO4ST680C11,,105,42,7,0.45,0,8,97,0,0,0,3,39,0,0,yes
2025,TX,48027,Bell,549300U3721PJGQZYY68,,91,38,6,0.4,36,3,52,0,0,12,1,25,0,0,yes
2025,TX,48027,Bell,5493000YNV8IX4VD3X12,,221,36,98,0.38,220,1,0,0,0,35,1,0,0,0,yes
2025,TX,48027,Bell,5493004WMLN60ZJ2ON46,,73,36,16,0.38,13,10,42,8,0,6,6,22,2,0,yes
2025,TX,48027,Bell,549300PIL8LFAQ04XC20,,127,36,67,0.38,127,0,0,0,0,36,0,0,0,0,yes
2025,TX,48027,Bell,B4TYDEB6GKMZO031MB27,,145,36,78,0.38,143,1,1,0,0,35,0,1,0,0,yes
2025,TX,48027,Bell,54930034MNPILHP25H80,,47,35,1,0.37,26,14,7,0,0,20,10,5,0,0,yes
2025,TX,48027,Bell,549300PL267CW8182203,,92,34,7,0.36,4,12,76,0,0,1,4,29,0,0,yes
2025,TX,48027,Bell,549300KIOYNU323LVJ37,,38,32,0,0.34,8,15,15,0,0,6,14,12,0,0,yes
2025,TX,48027,Bell,54930021WPEXNHYZUL09,,44,31,11,0.33,4,8,32,0,0,1,7,23,0,0,yes
2025,TX,48027,Bell,549300DD4R4SYK5RAQ92,,39,31,1,0.33,21,9,9,0,0,16,8,7,0,0,yes
2025,TX,48027,Bell,549300MZ8VZJOVC63092,,56,31,15,0.33,28,11,17,0,0,14,4,13,0,0,yes
2025,TX,48027,Bell,549300DMHEHNYZ2OLB41,,46,30,4,0.32,29,10,7,0,0,19,5,6,0,0,yes
2025,TX,48027,Bell,549300K4ZLGS7SRDTL86,,62,30,9,0.32,0,12,50,0,0,0,5,25,0,0,yes
2025,TX,48027,Bell,AD6GFRVSDT01YPT1CS68,,106,30,49,0.32,104,0,2,0,0,30,0,0,0,0,yes
2025,TX,48027,Bell,G5AHTAP80NWA3Q8RDC78,,53,30,16,0.32,53,0,0,0,0,30,0,0,0,0,yes
2025,TX,48027,Bell,5493000NYUJT9UC6G261,,40,29,3,0.31,5,5,30,0,0,2,1,26,0,0,yes
2025,TX,48027,Bell,KB1H1DSPRFMYMCUFXT09,,57,28,13,0.3,49,0,8,0,0,21,0,7,0,0,yes
2025,TX,48027,Bell,5493005QU87D4OE5GZ21,,38,27,5,0.29,38,0,0,0,0,27,0,0,0,0,yes
2025,TX,48027,Bell,5493005XMJQ1GSXUGT67,,43,27,2,0.29,11,9,23,0,0,5,6,16,0,0,yes
2025,TX,48027,Bell,25490066WMF8ZMQXQB18,,37,25,1,0.27,37,0,0,0,0,25,0,0,0,0,yes
2025,TX,48027,Bell,549300R9S3MVDV4MGF56,,80,25,36,0.27,56,5,19,0,0,17,1,7,0,0,yes
