year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,UT,49035,Salt Lake,46530,28617,8199,17.62,17515,16713,12302,37.64,35.92,39455,5419,1650,6,0,84.79,11.65,3.55,24303,3306,1005,3,0,84.93,11.55,3.51,national
2025,UT,49049,Utah,31117,20129,4609,14.81,14585,9616,6916,46.87,30.9,25480,4438,1170,29,0,81.88,14.26,3.76,16331,3044,740,14,0,81.13,15.12,3.68,national
2025,UT,49011,Davis,15523,10402,2126,13.7,5452,5820,4251,35.12,37.49,12622,1684,1215,2,0,81.31,10.85,7.83,8540,1089,771,2,0,82.1,10.47,7.41,national
2025,UT,49057,Weber,13831,9067,1949,14.09,5600,5071,3160,40.49,36.66,10399,2107,1320,5,0,75.19,15.23,9.54,6863,1347,855,2,0,75.69,14.86,9.43,national
2025,UT,49053,Washington,11449,7264,1684,14.71,5371,3605,2473,46.91,31.49,9572,1255,605,17,0,83.61,10.96,5.28,6056,820,374,14,0,83.37,11.29,5.15,national
2025,UT,49005,Cache,5002,3342,662,13.23,2099,1735,1168,41.96,34.69,4127,594,245,36,0,82.51,11.88,4.9,2756,391,166,29,0,82.47,11.7,4.97,national
2025,UT,49045,Tooele,5268,3203,988,18.75,2158,1896,1214,40.96,35.99,3603,1240,416,9,0,68.39,23.54,7.9,2160,788,248,7,0,67.44,24.6,7.74,national
2025,UT,49021,Iron,3296,2096,499,15.14,1541,1073,682,46.75,32.55,2529,442,313,12,0,76.73,13.41,9.5,1597,298,194,7,0,76.19,14.22,9.26,national
2025,UT,49003,Box Elder,3144,2061,428,13.61,1290,1204,650,41.03,38.3,2233,603,265,43,0,71.02,19.18,8.43,1471,406,158,26,0,71.37,19.7,7.67,national
2025,UT,49051,Wasatch,2811,1755,442,15.72,1340,914,557,47.67,32.52,2598,135,77,1,0,92.42,4.8,2.74,1618,87,50,0,0,92.19,4.96,2.85,national
2025,UT,49043,Summit,2859,1710,475,16.61,1191,963,705,41.66,33.68,2723,76,58,2,0,95.24,2.66,2.03,1629,47,34,0,0,95.26,2.75,1.99,national
2025,UT,49047,Uintah,1840,1046,386,20.98,691,719,430,37.55,39.08,1322,409,89,20,0,71.85,22.23,4.84,702,274,54,16,0,67.11,26.2,5.16,national
2025,UT,49039,Sanpete,1226,743,213,17.37,459,506,261,37.44,41.27,966,179,68,13,0,78.79,14.6,5.55,578,110,46,9,0,77.79,14.8,6.19,national
2025,UT,49041,Sevier,1050,641,196,18.67,362,399,289,34.48,38.0,811,154,72,13,0,77.24,14.67,6.86,488,100,45,8,0,76.13,15.6,7.02,national
2025,UT,49007,Carbon,988,588,192,19.43,440,354,194,44.53,35.83,670,235,67,16,0,67.81,23.79,6.78,398,141,40,9,0,67.69,23.98,6.8,national
2025,UT,49029,Morgan,703,481,88,12.52,264,278,161,37.55,39.54,632,33,37,1,0,89.9,4.69,5.26,430,24,27,0,0,89.4,4.99,5.61,national
2025,UT,49013,Duchesne,852,470,194,22.77,301,342,209,35.33,40.14,645,163,41,3,0,75.7,19.13,4.81,345,96,26,3,0,73.4,20.43,5.53,national
2025,UT,49025,Kane,652,392,130,19.94,290,212,150,44.48,32.52,577,32,41,2,0,88.5,4.91,6.29,349,15,26,2,0,89.03,3.83,6.63,national
2025,UT,49023,Juab,583,385,84,14.41,232,242,109,39.79,41.51,449,104,21,9,0,77.02,17.84,3.6,295,71,16,3,0,76.62,18.44,4.16,national
2025,UT,49027,Millard,526,345,69,13.12,179,214,133,34.03,40.68,409,83,27,7,0,77.76,15.78,5.13,269,55,18,3,0,77.97,15.94,5.22,national
2025,UT,49015,Emery,332,216,44,13.25,141,123,68,42.47,37.05,245,63,20,4,0,73.8,18.98,6.02,154,47,12,3,0,71.3,21.76,5.56,national
2025,UT,49001,Beaver,295,181,48,16.27,116,121,58,39.32,41.02,220,47,24,4,0,74.58,15.93,8.14,137,28,14,2,0,75.69,15.47,7.73,national
2025,UT,49033,Rich,299,178,58,19.4,129,113,57,43.14,37.79,286,7,6,0,0,95.65,2.34,2.01,174,3,1,0,0,97.75,1.69,0.56,national
2025,UT,49019,Grand,348,172,81,23.28,159,132,57,45.69,37.93,317,22,8,1,0,91.09,6.32,2.3,156,12,3,1,0,90.7,6.98,1.74,national
2025,UT,49017,Garfield,269,171,43,15.99,88,111,70,32.71,41.26,241,16,12,0,0,89.59,5.95,4.46,156,10,5,0,0,91.23,5.85,2.92,national
2025,UT,49037,San Juan,321,146,95,29.6,141,130,50,43.93,40.5,275,28,15,3,0,85.67,8.72,4.67,123,14,8,1,0,84.25,9.59,5.48,national
