lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,utah_originations,florida_originations,total_originations,priority_match,notes
5493007I0X1GRWIU8B34,AMERICA FIRST Federal Credit Union,412819,america-first-federal-credit-union,America First Federal Credit Union,high,ut_deepen+ut_deepen_gleif+public_nmls,11759,0,11759,high,ut_deepen map for UT activity (11759 UT originations); slug=america-first-federal-credit-union.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,ut_deepen+ut_deepen_gleif_reidentify+public_nmls,8957,0,8957,high,ut_deepen map for UT activity (8957 UT originations); slug=united-wholesale-mortgage.
5493006S869XKIESMV41,Mountain America Federal Credit Union,462815,mountain-america-federal-credit-union,Mountain America Federal Credit Union,high,ut_deepen+ut_deepen_gleif+public_nmls,7223,0,7223,high,ut_deepen map for UT activity (7223 UT originations); slug=mountain-america-federal-credit-union.
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,ut_deepen+ut_deepen_gleif_reidentify+public_nmls,4780,0,4780,high,ut_deepen map for UT activity (4780 UT originations); slug=rocket-mortgage.
549300AQ3T62GXDU7D76,GUILD MORTGAGE COMPANY LLC,3274,guild-mortgage-metrowest,Guild Mortgage Company LLC,high,ut_deepen+ut_deepen_gleif_reidentify+public_nmls,3981,0,3981,high,ut_deepen map for UT activity (3981 UT originations); slug=guild-mortgage-metrowest.
549300S5FVOSK5DQJN30,INTERCAP LENDING INC.,190465,intercap-lending,Intercap Lending Inc.,high,ut_deepen+ut_deepen_gleif+public_nmls,3672,0,3672,high,ut_deepen map for UT activity (3672 UT originations); slug=intercap-lending.
549300BDHZAV4ZQHQV19,GOLDENWEST,440574,goldenwest-federal-credit-union,Goldenwest Federal Credit Union,high,ut_deepen+ut_deepen_gleif+public_nmls,3013,0,3013,high,ut_deepen map for UT activity (3013 UT originations); slug=goldenwest-federal-credit-union.
5493003V40VGM7YDFM54,FIRST COLONY MORTGAGE CORPORATION,3112,first-colony-mortgage,First Colony Mortgage Corporation,high,ut_deepen+ut_deepen_gleif+public_nmls,2983,0,2983,high,ut_deepen map for UT activity (2983 UT originations); slug=first-colony-mortgage.
549300MZ8VZJOVC63092,"KIND LENDING, LLC",3925,kind-lending,"Kind Lending, LLC",high,ut_deepen+ut_deepen_gleif+public_nmls,2249,0,2249,high,ut_deepen map for UT activity (2249 UT originations); slug=kind-lending.
254900DTLHVWQ7NP7R34,"CMG Mortgage, Inc.",1820,cmg-home-loans-dennis-vo,"CMG Mortgage, Inc.",high,ut_deepen+ut_deepen_gleif_reidentify+public_nmls,1917,0,1917,high,ut_deepen map for UT activity (1917 UT originations); slug=cmg-home-loans-dennis-vo.
8WH0EE09O9V05QJZ3V89,"Zions Bancorporation, N.A.",467014,zions-bank,"Zions Bancorporation, N.A.",high,ut_deepen+ut_deepen_gleif_reidentify+public_nmls,1755,0,1755,high,ut_deepen map for UT activity (1755 UT originations); slug=zions-bank.
549300VQUTI5IU7GXT57,SECURITYNATIONAL MORTGAGE COMPANY,3116,securitynational-mortgage,SecurityNational Mortgage Company,high,ut_deepen+ut_deepen_gleif+public_nmls,1700,0,1700,high,ut_deepen map for UT activity (1700 UT originations); slug=securitynational-mortgage.
549300BOLK89ZL7BNX85,UTAH COMMUNITY FEDERAL CREDIT UNION,407653,utah-community-credit-union,Utah Community Federal Credit Union,high,ut_deepen+ut_deepen_gleif+public_nmls,1549,0,1549,high,ut_deepen map for UT activity (1549 UT originations); slug=utah-community-credit-union.
RVDPPPGHCGZ40J4VQ731,"PENNYMAC LOAN SERVICES, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,ut_deepen+ut_deepen_gleif_reidentify+public_nmls,1214,0,1214,high,ut_deepen map for UT activity (1214 UT originations); slug=pennymac.
5493001SXWZ4OFP8Z903,"DHI MORTGAGE COMPANY, LTD.",14622,dhi-mortgage-buckeye,"DHI Mortgage Company, Ltd.",high,ut_deepen+ut_deepen_gleif_reidentify+public_nmls,1170,0,1170,high,ut_deepen map for UT activity (1170 UT originations); slug=dhi-mortgage-buckeye.
54930016ZSB1QWXLRJ13,"MY MOVE MORTGAGE, LLC",,my-move-mortgage,"My Move Mortgage, LLC (dba Momentum Loans)",high,ut_deepen+ut_deepen_gleif+ut_directory,1140,0,1140,high,ut_deepen map for UT activity (1140 UT originations); slug=my-move-mortgage.
549300HS714PZ0BMPN11,CYPRUS Federal Credit Union,666254,cyprus-credit-union,Cyprus Credit Union,high,ut_deepen+ut_deepen_gleif+public_nmls+ut_directory,1104,0,1104,high,ut_deepen map for UT activity (1104 UT originations); slug=cyprus-credit-union.
549300DEVPMBR765WH45,UTAH FIRST,446035,utah-first-credit-union,Utah First Credit Union,high,ut_deepen+ut_deepen_gleif+public_nmls,994,0,994,high,ut_deepen map for UT activity (994 UT originations); slug=utah-first-credit-union.
5493000KQ2PZ8G6VNI80,CANYON VIEW,654272,canyon-view-credit-union,Canyon View Credit Union,high,ut_deepen+ut_deepen_gleif+public_nmls+ut_directory,978,0,978,high,ut_deepen map for UT activity (978 UT originations); slug=canyon-view-credit-union.
549300MGPZBLQDIL7538,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,2909,fairway-mortgage-augusta-sheppard,Fairway Independent Mortgage Corporation,high,ut_deepen+ut_deepen_gleif_reidentify+public_nmls,934,0,934,high,ut_deepen map for UT activity (934 UT originations); slug=fairway-mortgage-augusta-sheppard.
549300KJ8PAJ7E52HG32,Plains Commerce Bank,,plains-commerce-bank,Plains Commerce Bank,high,ut_deepen+ut_deepen_gleif+directory_slug,934,0,934,high,ut_deepen map for UT activity (934 UT originations); slug=plains-commerce-bank.
549300LBCBNR1OT00651,NATIONSTAR MORTGAGE LLC,2104,mr-cooper,Nationstar Mortgage LLC,high,ut_deepen+ut_deepen_gleif_reidentify+public_nmls,914,0,914,high,ut_deepen map for UT activity (914 UT originations); slug=mr-cooper.
549300AG64NHILB7ZP05,"LOANDEPOT.COM, LLC",174457,loandepot,"loanDepot.com, LLC",high,ut_deepen+ut_deepen_gleif_reidentify+public_nmls,778,0,778,high,ut_deepen map for UT activity (778 UT originations); slug=loandepot.
254900FFZUXK3B729T97,Deseret First Credit Union,403075,deseret-first-credit-union,Deseret First Credit Union,high,ut_deepen+ut_deepen_gleif+public_nmls,775,0,775,high,ut_deepen map for UT activity (775 UT originations); slug=deseret-first-credit-union.
549300VZVN841I2ILS84,"CROSSCOUNTRY MORTGAGE, LLC",3029,crosscountry-mortgage-metrowest,"CrossCountry Mortgage, LLC",high,ut_deepen+ut_deepen_gleif_reidentify+public_nmls,745,0,745,high,ut_deepen map for UT activity (745 UT originations); slug=crosscountry-mortgage-metrowest.
549300LYRWPSYPK6S325,FREEDOM MORTGAGE CORPORATION,2767,freedom-mortgage,Freedom Mortgage Corporation,high,ut_deepen+ut_deepen_gleif_reidentify+public_nmls,726,0,726,high,ut_deepen map for UT activity (726 UT originations); slug=freedom-mortgage.
6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,402216,us-bank,U.S. Bank National Association,high,ut_deepen+ut_deepen_gleif_reidentify+public_nmls,726,0,726,high,ut_deepen map for UT activity (726 UT originations); slug=us-bank.
549300W1HU6IVVIEJ389,"RANLIFE, INC.",3151,ranlife,"RanLife, Inc.",high,ut_deepen+ut_deepen_gleif+public_nmls,712,0,712,high,ut_deepen map for UT activity (712 UT originations); slug=ranlife.
549300NNL9H573MWO110,BANK OF UTAH,422914,bank-of-utah,Bank of Utah,high,ut_deepen+ut_deepen_gleif+public_nmls,696,0,696,high,ut_deepen map for UT activity (696 UT originations); slug=bank-of-utah.
549300FNXYY540N23N64,Newrez LLC,2289,newrez,Newrez LLC,high,ut_deepen+ut_deepen_gleif_reidentify+public_nmls,687,0,687,high,ut_deepen map for UT activity (687 UT originations); slug=newrez.
54930043BMDE130FJ617,"PROVIDENT FUNDING ASSOCIATES, L.P.",3821,provident-funding,"Provident Funding Associates, L.P.",high,ut_deepen+ut_deepen_gleif+public_nmls,642,0,642,high,ut_deepen map for UT activity (642 UT originations); slug=provident-funding.
549300IQGEUYRQBJC007,State Bank of Southern Utah,,state-bank-of-southern-utah,State Bank of Southern Utah,high,ut_deepen+ut_deepen_gleif+ut_directory,595,0,595,high,ut_deepen map for UT activity (595 UT originations); slug=state-bank-of-southern-utah.
5493008I5A5R6730MQ84,"SECURITY HOME MORTGAGE, LLC",178787,security-home-mortgage,"Security Home Mortgage, LLC",high,ut_deepen+ut_deepen_gleif+public_nmls,575,0,575,high,ut_deepen map for UT activity (575 UT originations); slug=security-home-mortgage.
549300H3IZO24NSOO931,"LENNAR MORTGAGE, LLC",1058,lennar-mortgage-queen-creek,"Lennar Mortgage, LLC",high,ut_deepen+ut_deepen_gleif_reidentify+public_nmls,552,0,552,high,ut_deepen map for UT activity (552 UT originations); slug=lennar-mortgage-queen-creek.
549300E2UX99HKDBR481,"NEW AMERICAN FUNDING, LLC",6606,new-american-funding,"New American Funding, LLC",high,ut_deepen+ut_deepen_gleif_reidentify+public_nmls,540,0,540,high,ut_deepen map for UT activity (540 UT originations); slug=new-american-funding.
5493008N1D96CHCTQC27,SECURITY SERVICE FEDERAL CREDIT UNION,458903,security-service-federal-credit-union,Security Service Federal Credit Union,high,ut_deepen+ut_deepen_gleif+public_nmls,507,0,507,high,ut_deepen map for UT activity (507 UT originations); slug=security-service-federal-credit-union.
7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",399798,jpmorgan-chase-bank,"JPMorgan Chase Bank, National Association",high,ut_deepen+ut_deepen_gleif_reidentify+public_nmls,483,0,483,medium,ut_deepen map for UT activity (483 UT originations); slug=jpmorgan-chase-bank.
549300NWKILSNQAIG053,CHARTWAY FEDERAL CREDIT UNION,423149,chartway-federal-credit-union,Chartway Federal Credit Union,high,ut_deepen+ut_deepen_gleif+public_nmls,469,0,469,medium,ut_deepen map for UT activity (469 UT originations); slug=chartway-federal-credit-union.
549300DD5QQUHO6PCH70,"MORTGAGE RESEARCH CENTER, LLC",1907,veterans-united-west-valley,"Mortgage Research Center, LLC (Veterans United Home Loans)",high,ut_deepen+ut_deepen_gleif_reidentify+public_nmls,447,0,447,medium,ut_deepen map for UT activity (447 UT originations); slug=veterans-united-west-valley.
549300KIOYNU323LVJ37,AMERICAN PACIFIC MORTGAGE CORPORATION,1850,american-pacific-mortgage-inland-empire,American Pacific Mortgage Corporation,high,ut_deepen+ut_deepen_gleif+public_nmls,445,0,445,medium,ut_deepen map for UT activity (445 UT originations); slug=american-pacific-mortgage-inland-empire.
549300PIL8LFAQ04XC20,Better Mortgage Corporation,330511,better-mortgage,Better Mortgage Corporation,high,ut_deepen+ut_deepen_gleif+public_nmls,417,0,417,medium,ut_deepen map for UT activity (417 UT originations); slug=better-mortgage.
