year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,VT,50007,Chittenden,5021,3576,526,10.48,2230,1375,1416,44.41,27.38,4693,159,165,4,0,93.47,3.17,3.29,3383,91,100,2,0,94.6,2.54,2.8,national
2025,VT,50023,Washington,2064,1382,249,12.06,891,628,545,43.17,30.43,1838,118,105,3,0,89.05,5.72,5.09,1248,73,59,2,0,90.3,5.28,4.27,national
2025,VT,50011,Franklin,1993,1333,260,13.05,808,672,513,40.54,33.72,1631,164,182,16,0,81.84,8.23,9.13,1121,90,113,9,0,84.1,6.75,8.48,national
2025,VT,50027,Windsor,2170,1322,401,18.48,951,595,624,43.82,27.42,1887,161,115,7,0,86.96,7.42,5.3,1179,82,56,5,0,89.18,6.2,4.24,national
2025,VT,50021,Rutland,1706,983,326,19.11,748,529,429,43.85,31.01,1431,168,105,2,0,83.88,9.85,6.15,828,92,61,2,0,84.23,9.36,6.21,national
2025,VT,50025,Windham,1404,863,239,17.02,611,417,376,43.52,29.7,1266,82,56,0,0,90.17,5.84,3.99,795,43,25,0,0,92.12,4.98,2.9,national
2025,VT,50015,Lamoille,1028,666,150,14.59,435,316,277,42.32,30.74,927,63,37,1,0,90.18,6.13,3.6,623,24,19,0,0,93.54,3.6,2.85,national
2025,VT,50001,Addison,997,640,162,16.25,382,324,291,38.31,32.5,898,57,38,4,0,90.07,5.72,3.81,587,29,23,1,0,91.72,4.53,3.59,national
2025,VT,50019,Orleans,1025,640,173,16.88,452,323,250,44.1,31.51,860,93,70,2,0,83.9,9.07,6.83,559,47,33,1,0,87.34,7.34,5.16,national
2025,VT,50005,Caledonia,934,594,144,15.42,388,278,268,41.54,29.76,802,81,49,2,0,85.87,8.67,5.25,516,46,31,1,0,86.87,7.74,5.22,national
2025,VT,50017,Orange,873,522,173,19.82,329,295,249,37.69,33.79,747,80,46,0,0,85.57,9.16,5.27,454,41,27,0,0,86.97,7.85,5.17,national
2025,VT,50003,Bennington,876,519,170,19.41,334,288,254,38.13,32.88,720,99,55,2,0,82.19,11.3,6.28,441,50,27,1,0,84.97,9.63,5.2,national
2025,VT,50013,Grand Isle,362,235,43,11.88,145,111,106,40.06,30.66,321,25,16,0,0,88.67,6.91,4.42,214,12,9,0,0,91.06,5.11,3.83,national
2025,VT,50009,Essex,239,139,43,17.99,92,83,64,38.49,34.73,190,26,22,1,0,79.5,10.88,9.21,113,16,10,0,0,81.29,11.51,7.19,national
