lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,virginia_originations,florida_originations,total_originations,priority_match,notes
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,14489,31530,14489,high,reuse_prior_state_curated_lei map for VA activity (14489 VA originations); slug=rocket-mortgage.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,10136,49897,10136,high,reuse_prior_state_curated_lei map for VA activity (10136 VA originations); slug=united-wholesale-mortgage.
5493003GQDUH26DNNH17,Navy Federal Credit Union,399807,navy-federal-jacksonville,Navy Federal Credit Union (Jacksonville Area),high,reuse_prior_state_curated_lei+curated_lei+directory_name,9684,8416,9684,high,reuse_prior_state_curated_lei map for VA activity (9684 VA originations); slug=navy-federal-jacksonville.
JJKC32MCHWDI71265Z06,Truist Bank,405457,truist-bank,Truist Bank,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,6374,6117,6374,high,reuse_prior_state_curated_lei map for VA activity (6374 VA originations); slug=truist-bank.
549300DD5QQUHO6PCH70,"Movement Mortgage, LLC",39179,movement-mortgage-myrtle-beach,Movement Mortgage — Myrtle Beach,high,reuse_prior_state_curated_lei+curated_lei+directory_name,4500,5506,4500,high,reuse_prior_state_curated_lei map for VA activity (4500 VA originations); slug=movement-mortgage-myrtle-beach.
549300DD4R4SYK5RAQ92,"Cardinal Financial Company, Limited Partnership",66247,cardinal-financial,"Cardinal Financial Company, Limited Partnership",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,4339,4122,4339,high,reuse_prior_state_curated_lei map for VA activity (4339 VA originations); slug=cardinal-financial.
RVDPPPGHCGZ40J4VQ731,Fairway Independent Mortgage Corporation,2909,fairway-mortgage-augusta-sheppard,Fairway Independent Mortgage — Augusta (Sheppard Team),high,reuse_prior_state_curated_lei+curated_lei+directory_name,4338,9704,4338,high,reuse_prior_state_curated_lei map for VA activity (4338 VA originations); slug=fairway-mortgage-augusta-sheppard.
549300RWXUAFD1WAE410,"ATLANTIC BAY MORTGAGE GROUP, L.L.C.",72043,atlantic-bay-mortgage-charleston,"Atlantic Bay Mortgage Group, L.L.C.",high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+sc_curated+sc_curated_gleif+public_nmls+sc_directory,4244,0,4244,high,reuse_prior_state_curated_lei map for VA activity (4244 VA originations); slug=atlantic-bay-mortgage-charleston.
549300LYRWPSYPK6S325,Guild Mortgage Company LLC,3274,guild-mortgage-metrowest,Guild Mortgage (West Valley Branches),high,reuse_prior_state_curated_lei+curated_lei+directory_name,3646,5374,3646,high,reuse_prior_state_curated_lei map for VA activity (3646 VA originations); slug=guild-mortgage-metrowest.
5493009LKZIV63KY6458,VIRGINIA FEDERAL CREDIT UNION,407552,virginia-credit-union,Virginia Credit Union (Virginia Federal Credit Union),high,va_md_curated+va_md_deepen_gleif+public_nmls,3576,0,3576,high,va_md_curated map for VA activity (3576 VA originations); slug=virginia-credit-union.
54930095UWUUXAWASB02,"Atlantic Coast Mortgage, LLC",643114,atlantic-coast-mortgage,"Atlantic Coast Mortgage, LLC",high,reuse_prior_state_curated_lei+va_md_curated+va_md_curated_gleif+public_nmls,3458,0,3458,high,reuse_prior_state_curated_lei map for VA activity (3458 VA originations); slug=atlantic-coast-mortgage.
549300ZTT08EKQRVTR15,Atlantic Union Bank,551889,atlantic-union-bank,Atlantic Union Bank,high,reuse_prior_state_curated_lei+va_md_curated+va_md_curated_gleif+public_nmls,3237,0,3237,high,reuse_prior_state_curated_lei map for VA activity (3237 VA originations); slug=atlantic-union-bank.
549300VZVN841I2ILS84,Freedom Mortgage Corporation,2767,freedom-mortgage,Freedom Mortgage Corporation,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2938,11987,2938,high,reuse_prior_state_curated_lei map for VA activity (2938 VA originations); slug=freedom-mortgage.
549300KBWX4NV5Q1E376,"NVR Mortgage Finance, Inc.",1127,nvr-mortgage,"NVR Mortgage Finance, Inc.",high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+sc_curated+sc_curated_gleif+public_nmls,2711,0,2711,high,reuse_prior_state_curated_lei map for VA activity (2711 VA originations); slug=nvr-mortgage.
549300CHR7TPQ6LLXG47,LANGLEY FEDERAL CREDIT UNION,402897,langley-federal-credit-union,Langley Federal Credit Union,high,va_md_curated+va_md_deepen_gleif+public_nmls,2701,0,2701,high,va_md_curated map for VA activity (2701 VA originations); slug=langley-federal-credit-union.
B4TYDEB6GKMZO031MB27,"Guaranteed Rate, Inc.",2611,guaranteed-rate,"Guaranteed Rate, Inc.",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2688,7938,2688,high,reuse_prior_state_curated_lei map for VA activity (2688 VA originations); slug=guaranteed-rate.
549300RYBJHWWDENV610,Alcova Mortgage LLC,40508,alcova-mortgage,Alcova Mortgage LLC,high,reuse_prior_state_curated_lei+va_md_curated+va_md_curated_gleif+public_nmls,2663,0,2663,high,reuse_prior_state_curated_lei map for VA activity (2663 VA originations); slug=alcova-mortgage.
549300EM8ID8J7F8OM55,"First Heritage Mortgage, LLC",86548,first-heritage-mortgage,"First Heritage Mortgage, LLC",high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+sc_curated+sc_curated_gleif+public_nmls,2637,0,2637,high,reuse_prior_state_curated_lei map for VA activity (2637 VA originations); slug=first-heritage-mortgage.
549300F8C5JA44WNMI75,AMERICAN NEIGHBORHOOD MORTGAGE ACCEPTANCE COMPANY LLC,338923,anniemac-home-mortgage,American Neighborhood Mortgage Acceptance Company LLC (dba AnnieMac),high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+nj_curated+nj_curated_gleif+public_nmls,2520,0,2520,high,reuse_prior_state_curated_lei map for VA activity (2520 VA originations); slug=anniemac-home-mortgage.
549300GKFNPRWNS0GF29,"AmeriHome Mortgage Company, LLC",1120271,amerihome-mortgage,"AmeriHome Mortgage Company, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2325,4388,2325,high,reuse_prior_state_curated_lei map for VA activity (2325 VA originations); slug=amerihome-mortgage.
549300AG64NHILB7ZP05,"PennyMac Loan Services, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2215,7460,2215,high,reuse_prior_state_curated_lei map for VA activity (2215 VA originations); slug=pennymac.
549300FNXYY540N23N64,Newrez LLC,2289,newrez,Newrez LLC,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2175,5643,2175,high,reuse_prior_state_curated_lei map for VA activity (2175 VA originations); slug=newrez.
5493005PKOSG7MYX0B34,"Prosperity Home Mortgage, LLC",75164,prosperity-home-mortgage,"Prosperity Home Mortgage, LLC",high,reuse_prior_state_curated_lei+reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+nj_curated+nj_curated_gleif+public_nmls,2141,0,2141,high,reuse_prior_state_curated_lei map for VA activity (2141 VA originations); slug=prosperity-home-mortgage.
54930039UO39UJGI7078,TowneBank,512138,townebank,TowneBank / TowneBank Mortgage,high,reuse_prior_state_curated_lei+va_md_curated+va_md_curated_gleif+public_nmls,2077,0,2077,high,reuse_prior_state_curated_lei map for VA activity (2077 VA originations); slug=townebank.
549300LBCBNR1OT00651,NATIONSTAR MORTGAGE LLC,2104,mr-cooper,Nationstar Mortgage LLC,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1764,3546,1764,high,reuse_prior_state_curated_lei map for VA activity (1764 VA originations); slug=mr-cooper.
549300MGPZBLQDIL7538,"PrimeLending, a PlainsCapital Company",1921,primelending-columbus,PrimeLending — Columbus Team,high,reuse_prior_state_curated_lei+curated_lei+directory_name,1757,3153,1757,high,reuse_prior_state_curated_lei map for VA activity (1757 VA originations); slug=primelending-columbus.
549300U3721PJGQZYY68,Nationstar Mortgage LLC,2104,mr-cooper,Nationstar Mortgage LLC,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1737,3204,1737,high,reuse_prior_state_curated_lei map for VA activity (1737 VA originations); slug=mr-cooper.
AD6GFRVSDT01YPT1CS68,"PNC Bank, National Association",446038,pnc-bank,"PNC Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1721,3475,1721,high,reuse_prior_state_curated_lei map for VA activity (1721 VA originations); slug=pnc-bank.
549300BWFA5UY7H4WJ62,C & F Mortgage Corporation,147312,cf-mortgage,C&F Mortgage Corporation,high,va_md_curated+va_md_deepen_gleif+public_nmls,1514,0,1514,high,va_md_curated map for VA activity (1514 VA originations); slug=cf-mortgage.
549300FX7K8PTEQUU487,PENTAGON FEDERAL CREDIT UNION,401822,penfed-dc-mid-city,Pentagon Federal Credit Union,high,reuse_prior_state_curated_lei+gleif_name_to_directory,1455,972,1455,high,reuse_prior_state_curated_lei map for VA activity (1455 VA originations); slug=penfed-dc-mid-city.
5493000E527OH5Y8TR73,"NEWPORT NEWS SHIPBUILDING EMPLOYEES CREDIT UNION, INC. DBA BAYPORT CREDIT UNION",476890,bayport-credit-union,BayPort Credit Union,high,va_md_curated+va_md_deepen_gleif+public_nmls,1411,0,1411,high,va_md_curated map for VA activity (1411 VA originations); slug=bayport-credit-union.
7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",399798,jpmorgan-chase-bank,"JPMorgan Chase Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1406,6131,1406,high,reuse_prior_state_curated_lei map for VA activity (1406 VA originations); slug=jpmorgan-chase-bank.
549300MKOZ81ZWTNKB12,United Bank,522399,united-bank,United Bank,high,va_md_curated+va_md_deepen_gleif+public_nmls,1374,0,1374,high,va_md_curated map for VA activity (1374 VA originations); slug=united-bank.
549300BM4NS8HDJT3X28,"INTERCOASTAL MORTGAGE, LLC",56323,intercoastal-mortgage,"Intercoastal Mortgage, LLC",high,va_md_curated+va_md_deepen_gleif+public_nmls,1359,0,1359,high,va_md_curated map for VA activity (1359 VA originations); slug=intercoastal-mortgage.
549300FOXIQQV5UZD367,"SOUTHERN TRUST MORTGAGE, LLC",2921,southern-trust-mortgage,Southern Trust Mortgage LLC,high,va_md_curated+va_md_deepen_gleif+public_nmls,1342,0,1342,high,va_md_curated map for VA activity (1342 VA originations); slug=southern-trust-mortgage.
549300MCIFZSDHUT8X63,"NFM, INC.",2893,nfm-lending,"NFM, Inc. (dba NFM Lending)",high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+nj_curated+nj_curated_gleif+public_nmls,1310,0,1310,high,reuse_prior_state_curated_lei map for VA activity (1310 VA originations); slug=nfm-lending.
KB1H1DSPRFMYMCUFXT09,"Wells Fargo Bank, National Association",399801,wells-fargo-bank,"Wells Fargo Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1270,2670,1270,high,reuse_prior_state_curated_lei map for VA activity (1270 VA originations); slug=wells-fargo-bank.
549300AQ3T62GXDU7D76,Ally Bank,181005,ally-bank,Ally Bank,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1028,2790,1028,high,reuse_prior_state_curated_lei map for VA activity (1028 VA originations); slug=ally-bank.
549300PIL8LFAQ04XC20,Better Mortgage Corporation,330511,better-mortgage,Better Mortgage Corporation,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1024,2675,1024,high,reuse_prior_state_curated_lei map for VA activity (1024 VA originations); slug=better-mortgage.
