lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,washington_originations,florida_originations,total_originations,priority_match,notes
549300KM40FP4MSQU941,Boeing Employees Credit Union,,boeing-employees-credit-union,Boeing Employees Credit Union (BECU),high,or_wa_curated+or_wa_gleif+lei_identity,13589,0,13589,high,or_wa_curated map for WA activity (13589 WA originations); slug=boeing-employees-credit-union.
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,10611,31530,10611,high,reuse_prior_state_curated_lei map for WA activity (10611 WA originations); slug=rocket-mortgage.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,10462,49897,10462,high,reuse_prior_state_curated_lei map for WA activity (10462 WA originations); slug=united-wholesale-mortgage.
549300GKFNPRWNS0GF29,"AmeriHome Mortgage Company, LLC",1120271,amerihome-mortgage,"AmeriHome Mortgage Company, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,5796,4388,5796,high,reuse_prior_state_curated_lei map for WA activity (5796 WA originations); slug=amerihome-mortgage.
549300AQ3T62GXDU7D76,GUILD MORTGAGE COMPANY LLC,3274,guild-mortgage-metrowest,Guild Mortgage Company LLC,high,or_wa_curated+or_wa_gleif_reidentify+public_nmls,5691,0,5691,high,or_wa_curated map for WA activity (5691 WA originations); slug=guild-mortgage-metrowest.
549300DD4R4SYK5RAQ92,"MOVEMENT MORTGAGE, LLC",39179,movement-mortgage-myrtle-beach,"Movement Mortgage, LLC",high,or_wa_curated+or_wa_gleif_reidentify+public_nmls,5559,0,5559,high,or_wa_curated map for WA activity (5559 WA originations); slug=movement-mortgage-myrtle-beach.
549300VZVN841I2ILS84,"CROSSCOUNTRY MORTGAGE, LLC",3029,crosscountry-mortgage-metrowest,"CrossCountry Mortgage, LLC",high,or_wa_curated+or_wa_gleif_reidentify+public_nmls,4877,0,4877,high,or_wa_curated map for WA activity (4877 WA originations); slug=crosscountry-mortgage-metrowest.
6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,402216,us-bank,U.S. Bank National Association,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,3524,2279,3524,high,reuse_prior_state_curated_lei map for WA activity (3524 WA originations); slug=us-bank.
B4TYDEB6GKMZO031MB27,"Bank of America, National Association",399802,bank-of-america-mortgage-west-valley,"Bank of America, National Association",high,or_wa_curated+or_wa_gleif_reidentify+public_nmls,3420,0,3420,high,or_wa_curated map for WA activity (3420 WA originations); slug=bank-of-america-mortgage-west-valley.
RVDPPPGHCGZ40J4VQ731,"PENNYMAC LOAN SERVICES, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,or_wa_curated+or_wa_gleif_reidentify+public_nmls,2953,0,2953,high,or_wa_curated map for WA activity (2953 WA originations); slug=pennymac.
