lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,wv_originations,states_with_originations,priority_match,west_virginia_originations
549300KJZ82173UB3I21,,,,unmatched,4653,2944,1808,WV:1808;KY:643;VA:328;OH:161;FL:2;NC:1;PA:1,medium,1808
2WHM8VNJH63UN14OL754,,,,unmatched,90347,51203,1148,OH:24819;MI:10932;IL:4352;IN:2547;PA:1812;MN:1707;WV:1148;KY:903;CO:675;WI:664,high,1148
QGPGHQ1ENZOOLJRFTH41,,,,unmatched,9405,6248,956,OH:3020;WV:956;PA:657;KY:645;MD:400;IN:241;MI:120;VA:105;FL:30;TN:22,high,956
549300BTTR873E71L054,,,,unmatched,3991,3103,488,VA:1016;NC:752;WV:488;SC:311;PA:187;TX:172;MD:134;FL:9;MN:9;GA:7,high,488
I70W3N0Z6KOX8FYIH023,,,,unmatched,3374,2202,446,OH:1244;KY:465;WV:446;VA:23;MD:7;TN:5;IN:4;DC:4;SC:1;AL:1,medium,446
549300KNZ6E1MM7RQQ04,,,,unmatched,585,411,364,WV:364;MD:31;PA:10;SC:2;OH:2;KY:1;NC:1,low,364
54930034MNPILHP25H80,,,,unmatched,11008,7952,337,TX:2178;OK:1547;SC:653;KS:533;AR:350;NJ:337;WV:337;MO:254;FL:223;NM:216,high,337
549300MKOZ81ZWTNKB12,,,,unmatched,4545,3094,332,VA:1374;NC:419;WV:332;MD:318;SC:220;GA:197;DC:110;PA:77;FL:16;OH:14,high,332
5493006IT65TMGZIKY68,,,,unmatched,393,284,275,WV:275;OH:7;KY:2,low,275
549300EM8ID8J7F8OM55,,,,unmatched,9081,7383,267,VA:2637;SC:1380;MD:1160;NC:691;FL:603;GA:452;WV:267;DC:86;PA:46;MA:17,high,267
549300RYBJHWWDENV610,,,,unmatched,7839,6192,255,VA:2663;NC:1682;SC:399;WV:255;MD:238;GA:219;PA:168;FL:158;OH:144;TX:123,high,255
54930095UWUUXAWASB02,,,,unmatched,7298,5729,248,VA:3458;NC:673;MD:586;SC:369;WV:248;DC:148;FL:56;PA:53;DE:22;GA:13,high,248
549300C6CUP19I9O0770,,,,unmatched,632,423,245,WV:245;OH:146;PA:32,low,245
5493007TJ86W1ZK4LZ15,,,,unmatched,939,487,235,WV:235;VA:135;NC:101;TN:15;SC:1,medium,235
549300QR0KFPEDZPEI42,,,,unmatched,11060,7147,226,KY:2250;AL:997;TN:703;IN:657;GA:442;MS:391;FL:289;OH:283;PA:270;WV:226,high,226
549300VIRTE6O2776X89,,,,unmatched,547,371,224,WV:224;OH:77;SC:26;PA:22;TX:18;FL:2;NC:2,medium,224
549300BM4NS8HDJT3X28,,,,unmatched,3351,2646,210,VA:1359;NC:400;WV:210;SC:180;MD:171;TN:111;DC:61;FL:49;GA:46;PA:13,high,210
549300LY3BVZZOO7LW95,,,,unmatched,371,207,207,WV:207,low,207
549300OS8C7J7ZWMNL70,,,,unmatched,755,512,183,VA:238;WV:183;MD:62;KY:13;DE:6;TN:3;NC:2;DC:2;PA:1;OH:1,medium,183
549300VSOJCMQO84C619,,,,unmatched,280,199,168,WV:168;OH:31,low,168
549300OVA1LT74LITG21,,,,unmatched,720,560,164,PA:396;WV:164,medium,164
549300VMX06UV1F7NS76,,,,unmatched,5690,4240,155,MI:955;FL:429;PA:390;GA:343;TX:255;TN:237;KY:231;OK:184;NC:159;WV:155,high,155
5493005G7RUITYI5B094,,,,unmatched,197,151,151,WV:151,low,151
549300Y7G2MW6V1OR474,,,,unmatched,1424,1038,150,PA:594;WV:150;AL:117;NC:82;FL:20;TX:15;OH:14;TN:13;NV:8;SC:8,high,150
549300ZTT08EKQRVTR15,,,,unmatched,7639,5109,149,VA:3237;MD:1172;NC:317;WV:149;DC:96;IN:24;FL:22;SC:20;PA:18;DE:13,high,149
254900SRX8H2BWRMDQ91,,,,unmatched,205,156,148,WV:148;SC:5;NC:1;VA:1;FL:1,low,148
254900FAEHPIBKT6SS85,,,,unmatched,190,136,132,WV:132;PA:2;MD:2,low,132
549300XFPZ54Y2QPYR56,,,,unmatched,2778,2020,127,FL:1129;OH:338;PA:309;WV:127;GA:41;AL:36;VA:27;KY:12;IN:1,high,127
254900EDYO1UYWLWP146,,,,unmatched,286,231,125,WV:125;MD:68;PA:29;VA:4;NC:3;FL:1;SC:1,low,125
254900MQ4O1DX3N88207,,,,unmatched,3106,2436,123,KY:2051;TN:196;WV:123;OH:33;VA:11;FL:11;IN:7;NC:2;MD:1;SC:1,medium,123
5493002B3KWBDNOTY262,,,,unmatched,185,158,123,WV:123;VA:33;MD:1;NC:1,low,123
5493004HRO0EREBVYM82,,,,unmatched,186,135,123,WV:123;MD:6;VA:5;NC:1,low,123
254900IV7U7HAN6U7T54,,,,unmatched,133,120,115,WV:115;MD:4;VA:1,low,115
549300JQGT4VX22XJ495,,,,unmatched,369,328,105,OH:209;WV:105;KY:7;FL:3;SC:2;VA:1;NC:1,low,105
549300FFFM0IGJLBWH48,,,,unmatched,149,116,102,WV:102;OH:14,low,102
549300ZZ7K4DPF84PF16,,,,unmatched,131,100,100,WV:100,low,100
549300ZOW5Z4AZ36M223,,,,unmatched,222,102,98,WV:98;PA:4,low,98
549300ODM8A5T4RHPY32,,,,unmatched,247,187,93,WV:93;VA:74;MD:13;NC:3;PA:2;SC:1;MS:1,low,93
