year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,WI,55079,Milwaukee,32024,19382,6204,19.37,12125,11454,8445,37.86,35.77,27513,3262,1213,36,0,85.91,10.19,3.79,17132,1549,677,24,0,88.39,7.99,3.49,national
2025,WI,55025,Dane,21961,16273,2169,9.88,8205,7899,5857,37.36,35.97,20828,590,539,4,0,94.84,2.69,2.45,15631,302,338,2,0,96.05,1.86,2.08,national
2025,WI,55133,Waukesha,17811,12607,2062,11.58,6216,6506,5089,34.9,36.53,16498,680,627,6,0,92.63,3.82,3.52,11890,335,376,6,0,94.31,2.66,2.98,national
2025,WI,55009,Brown,9864,7322,1013,10.27,3707,3457,2700,37.58,35.05,8735,607,517,5,0,88.55,6.15,5.24,6625,346,348,3,0,90.48,4.73,4.75,national
2025,WI,55087,Outagamie,7422,5623,615,8.29,3013,2580,1829,40.6,34.76,6517,499,404,2,0,87.81,6.72,5.44,5071,288,262,2,0,90.18,5.12,4.66,national
2025,WI,55101,Racine,8473,5489,1444,17.04,3009,3052,2412,35.51,36.02,7078,840,550,5,0,83.54,9.91,6.49,4740,433,312,4,0,86.35,7.89,5.68,national
2025,WI,55105,Rock,7504,5139,1128,15.03,2846,2692,1966,37.93,35.87,6340,686,469,9,0,84.49,9.14,6.25,4447,399,286,7,0,86.53,7.76,5.57,national
2025,WI,55139,Winnebago,6360,4659,674,10.6,2674,2090,1596,42.04,32.86,5421,510,427,2,0,85.24,8.02,6.71,4112,287,258,2,0,88.26,6.16,5.54,national
2025,WI,55059,Kenosha,6436,4043,1180,18.33,2224,2278,1934,34.56,35.39,5364,614,453,5,0,83.34,9.54,7.04,3427,344,269,3,0,84.76,8.51,6.65,national
2025,WI,55131,Washington,5788,4036,739,12.77,2223,2062,1503,38.41,35.63,5168,316,300,4,0,89.29,5.46,5.18,3671,165,196,4,0,90.96,4.09,4.86,national
2025,WI,55073,Marathon,4908,3467,580,11.82,1932,1844,1132,39.36,37.57,4239,344,299,26,0,86.37,7.01,6.09,3087,170,191,19,0,89.04,4.9,5.51,national
2025,WI,55117,Sheboygan,4209,2973,486,11.55,1532,1566,1111,36.4,37.21,3652,370,181,6,0,86.77,8.79,4.3,2645,210,115,3,0,88.97,7.06,3.87,national
2025,WI,55063,La Crosse,3846,2910,353,9.18,1613,1322,911,41.94,34.37,3440,165,238,3,0,89.44,4.29,6.19,2686,82,141,1,0,92.3,2.82,4.85,national
2025,WI,55127,Walworth,4588,2877,732,15.95,1755,1609,1224,38.25,35.07,3977,390,213,8,0,86.68,8.5,4.64,2560,192,122,3,0,88.98,6.67,4.24,national
2025,WI,55109,St. Croix,4041,2808,524,12.97,1624,1295,1122,40.19,32.05,3421,277,325,18,0,84.66,6.85,8.04,2439,154,204,11,0,86.86,5.48,7.26,national
2025,WI,55039,Fond du Lac,3941,2673,562,14.26,1611,1501,829,40.88,38.09,3375,361,197,8,0,85.64,9.16,5.0,2343,208,118,4,0,87.65,7.78,4.41,national
2025,WI,55089,Ozaukee,3610,2529,430,11.91,1340,1253,1017,37.12,34.71,3359,130,119,2,0,93.05,3.6,3.3,2396,71,61,1,0,94.74,2.81,2.41,national
2025,WI,55035,Eau Claire,3615,2498,471,13.03,1561,1032,1022,43.18,28.55,3201,229,177,8,0,88.55,6.33,4.9,2246,143,104,5,0,89.91,5.72,4.16,national
