lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,wisconsin_originations,florida_originations,total_originations,priority_match,notes
254900NTAC4H10MGSU23,Summit Credit Union,,summit-credit-union,Summit Credit Union,high,wi_mn_curated+wi_mn_deepen_gleif+lei_identity,11322,0,11322,high,wi_mn_curated map for WI activity (11322 WI originations); slug=summit-credit-union.
254900CN1DD55MJDFH69,University Of Wisconsin Credit Union,,university-of-wisconsin-credit-union,UW Credit Union,high,wi_mn_curated+wi_mn_deepen_gleif+lei_identity,8766,0,8766,high,wi_mn_curated map for WI activity (8766 WI originations); slug=university-of-wisconsin-credit-union.
549300KY533JFETOYG46,Landmark Credit Union,401043,landmark-credit-union,Landmark Credit Union,high,wi_mn_curated+wi_mn_deepen_gleif+public_nmls,6662,0,6662,high,wi_mn_curated map for WI activity (6662 WI originations); slug=landmark-credit-union.
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,5736,31530,5736,high,reuse_prior_state_curated_lei map for WI activity (5736 WI originations); slug=rocket-mortgage.
ZF85QS7OXKPBG52R7N18,"Associated Bank, National Association",,associated-bank,"Associated Bank, National Association",high,wi_mn_curated+wi_mn_deepen_gleif+lei_identity,4974,0,4974,high,wi_mn_curated map for WI activity (4974 WI originations); slug=associated-bank.
254900CIEUZUO7CHPG88,COVANTAGE CREDIT UNION,,covantage-credit-union,CoVantage Credit Union,high,wi_mn_curated+wi_mn_deepen_gleif+lei_identity,3632,0,3632,high,wi_mn_curated map for WI activity (3632 WI originations); slug=covantage-credit-union.
254900Q5026VQBAVI394,Community First Credit Union,,community-first-credit-union-wi,"Community First Credit Union (Appleton, WI)",high,wi_mn_curated+wi_mn_deepen_gleif+lei_identity,3509,0,3509,high,wi_mn_curated map for WI activity (3509 WI originations); slug=community-first-credit-union-wi.
549300FS35FQXZRU4Z45,EDUCATORS CREDIT UNION,,educators-credit-union,Educators Credit Union,high,wi_mn_curated+wi_mn_deepen_gleif+lei_identity,3267,0,3267,high,wi_mn_curated map for WI activity (3267 WI originations); slug=educators-credit-union.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,3258,49897,3258,high,reuse_prior_state_curated_lei map for WI activity (3258 WI originations); slug=united-wholesale-mortgage.
IWRZQFYIRJ0IMURZBB68,Johnson Bank,,johnson-bank,Johnson Bank,high,wi_mn_curated+wi_mn_deepen_gleif+lei_identity,3047,0,3047,high,wi_mn_curated map for WI activity (3047 WI originations); slug=johnson-bank.
3Y4U8VZURTYWI1W2K376,BMO Bank National Association,401052,bmo-bank,BMO Bank National Association,high,wi_mn_curated+wi_mn_gleif+public_nmls,2970,0,2970,high,wi_mn_curated map for WI activity (2970 WI originations); slug=bmo-bank.
549300MGPZBLQDIL7538,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,2909,fairway-mortgage-augusta-sheppard,Fairway Independent Mortgage Corporation,high,wi_mn_curated+wi_mn_gleif_reidentify+public_nmls,2947,0,2947,high,wi_mn_curated map for WI activity (2947 WI originations); slug=fairway-mortgage-augusta-sheppard.
549300OZ550X4QD5PC74,Royal Credit Union,,royal-credit-union,Royal Credit Union,high,wi_mn_curated+wi_mn_deepen_gleif+lei_identity,2893,0,2893,high,wi_mn_curated map for WI activity (2893 WI originations); slug=royal-credit-union.
6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,402216,us-bank,U.S. Bank National Association,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2785,2279,2785,high,reuse_prior_state_curated_lei map for WI activity (2785 WI originations); slug=us-bank.
549300FUMS21JPQM1N03,FOX COMMUNITIES CREDIT UNION,,fox-communities-credit-union,Fox Communities Credit Union,high,wi_mn_curated+wi_mn_deepen_gleif+lei_identity,2436,0,2436,high,wi_mn_curated map for WI activity (2436 WI originations); slug=fox-communities-credit-union.
38CFVD4YYFWD1FV7IM34,Nicolet National Bank,,nicolet-national-bank,Nicolet National Bank,high,wi_mn_curated+wi_mn_deepen_gleif+lei_identity,2279,0,2279,high,wi_mn_curated map for WI activity (2279 WI originations); slug=nicolet-national-bank.
549300AQ3T62GXDU7D76,GUILD MORTGAGE COMPANY LLC,3274,guild-mortgage-metrowest,Guild Mortgage Company LLC,high,wi_mn_curated+wi_mn_gleif_reidentify+public_nmls,2260,0,2260,high,wi_mn_curated map for WI activity (2260 WI originations); slug=guild-mortgage-metrowest.
549300VEZ43KYEWR3610,CAPITAL Credit Union,,capital-credit-union-wi,Capital Credit Union (Wisconsin),high,wi_mn_curated+wi_mn_deepen_gleif+lei_identity,2012,0,2012,high,wi_mn_curated map for WI activity (2012 WI originations); slug=capital-credit-union-wi.
549300BRLQAIJ1LJA253,"Bank First, N.A.",,bank-first-na,"Bank First, N.A.",high,wi_mn_curated+wi_mn_deepen_gleif+lei_identity,1810,0,1810,high,wi_mn_curated map for WI activity (1810 WI originations); slug=bank-first-na.
549300DD5QQUHO6PCH70,"MORTGAGE RESEARCH CENTER, LLC",1907,veterans-united-west-valley,"Mortgage Research Center, LLC (Veterans United Home Loans)",high,wi_mn_curated+wi_mn_gleif_reidentify+public_nmls,1743,0,1743,high,wi_mn_curated map for WI activity (1743 WI originations); slug=veterans-united-west-valley.
549300A0SVCQJPHVGV20,ALTRA Federal Credit Union,,altra-federal-credit-union,Altra Federal Credit Union,high,wi_mn_curated+wi_mn_deepen_gleif+lei_identity,1466,0,1466,high,wi_mn_curated map for WI activity (1466 WI originations); slug=altra-federal-credit-union.
254900X6OAHFW6BUT219,WESTCONSIN CREDIT UNION,,westconsin-credit-union,Westconsin Credit Union,high,wi_mn_curated+wi_mn_deepen_gleif+lei_identity,1374,0,1374,high,wi_mn_curated map for WI activity (1374 WI originations); slug=westconsin-credit-union.
7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",399798,jpmorgan-chase-bank,"JPMorgan Chase Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1346,6131,1346,high,reuse_prior_state_curated_lei map for WI activity (1346 WI originations); slug=jpmorgan-chase-bank.
549300FNXYY540N23N64,Newrez LLC,2289,newrez,Newrez LLC,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1295,5643,1295,high,reuse_prior_state_curated_lei map for WI activity (1295 WI originations); slug=newrez.
RVDPPPGHCGZ40J4VQ731,"PENNYMAC LOAN SERVICES, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,wi_mn_curated+wi_mn_gleif_reidentify+public_nmls,1253,0,1253,high,wi_mn_curated map for WI activity (1253 WI originations); slug=pennymac.
C398JSK21YCXWM603F55,"Barrington Bank & Trust Company, National Association",449042,wintrust-mortgage,Barrington Bank & Trust / Wintrust Mortgage,high,wi_mn_curated+wi_mn_reuse_wintrust_family+public_nmls,1224,0,1224,high,wi_mn_curated map for WI activity (1224 WI originations); slug=wintrust-mortgage.
549300U3721PJGQZYY68,"GUARANTEED RATE, INC.",2611,guaranteed-rate,"Guaranteed Rate, Inc.",high,wi_mn_curated+wi_mn_gleif_reidentify+public_nmls,1168,0,1168,high,wi_mn_curated map for WI activity (1168 WI originations); slug=guaranteed-rate.
549300VZVN841I2ILS84,"CROSSCOUNTRY MORTGAGE, LLC",3029,crosscountry-mortgage-metrowest,"CrossCountry Mortgage, LLC",high,wi_mn_curated+wi_mn_gleif_reidentify+public_nmls,1070,0,1070,high,wi_mn_curated map for WI activity (1070 WI originations); slug=crosscountry-mortgage-metrowest.
549300WYBPIWKK6SQC06,Bell Bank,,bell-bank,Bell Bank,high,wi_mn_curated+wi_mn_deepen_gleif+lei_identity,1031,0,1031,high,wi_mn_curated map for WI activity (1031 WI originations); slug=bell-bank.
549300AG64NHILB7ZP05,"LOANDEPOT.COM, LLC",174457,loandepot,"loanDepot.com, LLC",high,wi_mn_curated+wi_mn_gleif_reidentify+public_nmls,956,0,956,high,wi_mn_curated map for WI activity (956 WI originations); slug=loandepot.
549300LYRWPSYPK6S325,FREEDOM MORTGAGE CORPORATION,2767,freedom-mortgage,Freedom Mortgage Corporation,high,wi_mn_curated+wi_mn_gleif_reidentify+public_nmls,918,0,918,high,wi_mn_curated map for WI activity (918 WI originations); slug=freedom-mortgage.
549300LBCBNR1OT00651,NATIONSTAR MORTGAGE LLC,2104,mr-cooper,Nationstar Mortgage LLC (Mr. Cooper),high,wi_mn_curated+wi_mn_gleif_reidentify+public_nmls,873,0,873,high,wi_mn_curated map for WI activity (873 WI originations); slug=mr-cooper.
549300AT7EB9FJAF0E61,Old National Bank,459308,old-national-bank,Old National Bank,high,wi_mn_curated+wi_mn_gleif+public_nmls,824,0,824,high,wi_mn_curated map for WI activity (824 WI originations); slug=old-national-bank.
5493005PKOSG7MYX0B34,"Prosperity Home Mortgage, LLC",75164,prosperity-home-mortgage,"Prosperity Home Mortgage, LLC",high,reuse_prior_state_curated_lei+reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+nj_curated+nj_curated_gleif+public_nmls,782,0,782,high,reuse_prior_state_curated_lei map for WI activity (782 WI originations); slug=prosperity-home-mortgage.
549300KIOYNU323LVJ37,AMERICAN PACIFIC MORTGAGE CORPORATION,1850,american-pacific-mortgage-inland-empire,American Pacific Mortgage (Inland Empire),medium,reuse_prior_state_curated_lei+gleif_name_to_directory,741,1750,741,high,reuse_prior_state_curated_lei map for WI activity (741 WI originations); slug=american-pacific-mortgage-inland-empire.
2WHM8VNJH63UN14OL754,The Huntington National Bank,402436,huntington-national-bank,The Huntington National Bank,high,wi_mn_curated+wi_mn_gleif+public_nmls,664,0,664,high,wi_mn_curated map for WI activity (664 WI originations); slug=huntington-national-bank.
549300LG07PXWSIMC813,TRUSTONE FINANCIAL CREDIT UNION,523134,trustone-financial-credit-union,TruStone Financial Credit Union,high,wi_mn_curated+wi_mn_deepen_gleif+public_nmls,640,0,640,high,wi_mn_curated map for WI activity (640 WI originations); slug=trustone-financial-credit-union.
549300GKFNPRWNS0GF29,"AmeriHome Mortgage Company, LLC",1120271,amerihome-mortgage,"AmeriHome Mortgage Company, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,630,4388,630,high,reuse_prior_state_curated_lei map for WI activity (630 WI originations); slug=amerihome-mortgage.
549300RPOGWJRH63HS39,UNION HOME MORTGAGE CORP.,1904,union-home-mortgage-reeves-team,Union Home Mortgage Corp.,high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_fl_tx_ga_ca_curated_lei+reuse_fl_tx_ga_curated_lei+ga_curated_gleif+company_nmls+ga_directory,603,0,603,high,reuse_prior_state_curated_lei map for WI activity (603 WI originations); slug=union-home-mortgage-reeves-team.
5493003GQDUH26DNNH17,Navy Federal Credit Union,399807,navy-federal-jacksonville,Navy Federal Credit Union (Jacksonville Area),high,reuse_prior_state_curated_lei+curated_lei+directory_name,602,8416,602,high,reuse_prior_state_curated_lei map for WI activity (602 WI originations); slug=navy-federal-jacksonville.
KB1H1DSPRFMYMCUFXT09,"Wells Fargo Bank, National Association",399801,wells-fargo-bank,"Wells Fargo Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,590,2670,590,high,reuse_prior_state_curated_lei map for WI activity (590 WI originations); slug=wells-fargo-bank.
549300E2UX99HKDBR481,"Broker Solutions, Inc.",6606,new-american-funding,"Broker Solutions, Inc.",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,538,3881,538,high,reuse_prior_state_curated_lei map for WI activity (538 WI originations); slug=new-american-funding.
AD6GFRVSDT01YPT1CS68,"PNC Bank, National Association",446038,pnc-bank,"PNC Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,391,3475,391,medium,reuse_prior_state_curated_lei map for WI activity (391 WI originations); slug=pnc-bank.
549300DD4R4SYK5RAQ92,"Cardinal Financial Company, Limited Partnership",66247,cardinal-financial,"Cardinal Financial Company, Limited Partnership",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,388,4122,388,medium,reuse_prior_state_curated_lei map for WI activity (388 WI originations); slug=cardinal-financial.
