year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,WY,56021,Laramie,5398,3333,739,13.69,2714,1772,912,50.28,32.83,3436,765,1194,3,0,63.65,14.17,22.12,2089,509,734,1,0,62.68,15.27,22.02,national
2025,WY,56025,Natrona,3573,2332,503,14.08,1933,1025,615,54.1,28.69,2387,745,435,6,0,66.81,20.85,12.17,1542,513,272,5,0,66.12,22.0,11.66,national
2025,WY,56005,Campbell,1554,920,254,16.34,741,586,227,47.68,37.71,853,449,217,35,0,54.89,28.89,13.96,514,259,121,26,0,55.87,28.15,13.15,national
2025,WY,56037,Sweetwater,1249,786,199,15.93,598,441,210,47.88,35.31,752,320,131,46,0,60.21,25.62,10.49,441,227,82,36,0,56.11,28.88,10.43,national
2025,WY,56001,Albany,1134,778,140,12.35,587,308,239,51.76,27.16,903,108,123,0,0,79.63,9.52,10.85,624,74,80,0,0,80.21,9.51,10.28,national
2025,WY,56033,Sheridan,1122,699,162,14.44,518,378,226,46.17,33.69,809,133,173,7,0,72.1,11.85,15.42,519,80,95,5,0,74.25,11.44,13.59,national
2025,WY,56029,Park,1005,637,137,13.63,510,328,167,50.75,32.64,742,128,125,10,0,73.83,12.74,12.44,477,76,77,7,0,74.88,11.93,12.09,national
2025,WY,56013,Fremont,1006,555,192,19.09,434,396,176,43.14,39.36,683,186,132,5,0,67.89,18.49,13.12,380,98,72,5,0,68.47,17.66,12.97,national
2025,WY,56023,Lincoln,934,537,178,19.06,417,360,157,44.65,38.54,721,144,66,3,0,77.19,15.42,7.07,409,82,44,2,0,76.16,15.27,8.19,national
2025,WY,56041,Uinta,761,416,163,21.42,372,237,152,48.88,31.14,512,178,57,14,0,67.28,23.39,7.49,266,110,30,10,0,63.94,26.44,7.21,national
2025,WY,56039,Teton,652,364,111,17.02,287,192,173,44.02,29.45,640,6,6,0,0,98.16,0.92,0.92,359,2,3,0,0,98.63,0.55,0.82,national
