lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,wyoming_originations,florida_originations,total_originations,priority_match,notes
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1170,31530,1170,high,reuse_prior_state_curated_lei map for WY activity (1170 WY originations); slug=rocket-mortgage.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1008,49897,1008,high,reuse_prior_state_curated_lei map for WY activity (1008 WY originations); slug=united-wholesale-mortgage.
549300MGPZBLQDIL7538,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,2909,fairway-mortgage-augusta-sheppard,Fairway Independent Mortgage Corporation,high,id_mt_wy_curated+id_mt_wy_gleif_reidentify+public_nmls,885,0,885,high,id_mt_wy_curated map for WY activity (885 WY originations); slug=fairway-mortgage-augusta-sheppard.
549300AQ3T62GXDU7D76,GUILD MORTGAGE COMPANY LLC,3274,guild-mortgage-metrowest,Guild Mortgage Company LLC,high,id_mt_wy_curated+id_mt_wy_gleif_reidentify+public_nmls,692,0,692,high,id_mt_wy_curated map for WY activity (692 WY originations); slug=guild-mortgage-metrowest.
549300ESRQ6OLBB56N04,Glacier Bank,,glacier-bank,Glacier Bank,high,id_mt_wy_curated+id_mt_wy_gleif+lei_identity,538,0,538,high,id_mt_wy_curated map for WY activity (538 WY originations); slug=glacier-bank.
549300R5DOGZK0VWYL76,Jonah Bank of Wyoming,,jonah-bank-of-wyoming,Jonah Bank of Wyoming,high,id_mt_wy_curated+id_mt_wy_gleif+lei_identity,440,0,440,high,id_mt_wy_curated map for WY activity (440 WY originations); slug=jonah-bank-of-wyoming.
549300J5YB46ZKVUNF26,UNIWYO FEDERAL CREDIT UNION,,uniwyo-federal-credit-union,UniWyo Federal Credit Union,high,id_mt_wy_curated+id_mt_wy_gleif+lei_identity,383,0,383,medium,id_mt_wy_curated map for WY activity (383 WY originations); slug=uniwyo-federal-credit-union.
549300RFSMIRUODUVW59,First Interstate Bank,,first-interstate-bank,First Interstate Bank,high,id_mt_wy_curated+id_mt_wy_gleif+lei_identity,306,0,306,medium,id_mt_wy_curated map for WY activity (306 WY originations); slug=first-interstate-bank.
5493007KYI3BO5LTXF79,Meridian Trust Federal Credit Union,,meridian-trust-federal-credit-union,Meridian Trust Federal Credit Union,high,id_mt_wy_curated+id_mt_wy_gleif+lei_identity,306,0,306,medium,id_mt_wy_curated map for WY activity (306 WY originations); slug=meridian-trust-federal-credit-union.
549300DD5QQUHO6PCH70,"MORTGAGE RESEARCH CENTER, LLC",1907,veterans-united-west-valley,"Mortgage Research Center, LLC (Veterans United Home Loans)",high,id_mt_wy_curated+id_mt_wy_gleif_reidentify+public_nmls,280,0,280,medium,id_mt_wy_curated map for WY activity (280 WY originations); slug=veterans-united-west-valley.
