year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,WY,549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",1576,1170,56021:255; 56025:183; 56001:86; 56037:84; 56013:82,815,205,150,0,0,69.66,17.52,12.82,national
2025,WY,549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",1281,1008,56037:253; 56021:131; 56035:102; 56005:86; 56025:77,465,287,225,31,0,46.13,28.47,22.32,national
2025,WY,549300MGPZBLQDIL7538,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,1123,885,56021:468; 56025:169; 56001:77; 56041:57; 56013:33,490,248,144,3,0,55.37,28.02,16.27,national
2025,WY,549300AQ3T62GXDU7D76,GUILD MORTGAGE COMPANY LLC,961,692,56025:273; 56021:148; 56005:60; 56029:45; 56023:45,378,229,70,15,0,54.62,33.09,10.12,national
2025,WY,549300ESRQ6OLBB56N04,Glacier Bank,856,538,56029:129; 56033:105; 56025:72; 56041:40; 56023:34,470,48,18,2,0,87.36,8.92,3.35,national
2025,WY,549300R5DOGZK0VWYL76,Jonah Bank of Wyoming,496,440,56021:181; 56001:131; 56025:112; 56007:4; 56033:2,306,76,58,0,0,69.55,17.27,13.18,national
2025,WY,549300J5YB46ZKVUNF26,UNIWYO FEDERAL CREDIT UNION,541,383,56001:156; 56025:105; 56021:46; 56009:27; 56029:11,383,0,0,0,0,100.0,0.0,0.0,national
2025,WY,5493007KYI3BO5LTXF79,Meridian Trust Federal Credit Union,525,306,56021:167; 56013:35; 56007:23; 56039:18; 56037:16,306,0,0,0,0,100.0,0.0,0.0,national
2025,WY,549300RFSMIRUODUVW59,First Interstate Bank,510,306,56025:72; 56021:44; 56033:43; 56013:41; 56005:37,295,9,2,0,0,96.41,2.94,0.65,national
2025,WY,549300DD5QQUHO6PCH70,"MORTGAGE RESEARCH CENTER, LLC",599,280,56021:82; 56025:46; 56005:28; 56037:17; 56013:15,8,6,266,0,0,2.86,2.14,95.0,national
2025,WY,5493004JDNBZNOT8PR69,WYHY,383,252,56025:96; 56021:82; 56037:28; 56041:14; 56009:10,250,2,0,0,0,99.21,0.79,0.0,national
2025,WY,5493002Y5XYV7DV1ZV88,"GOLD STAR MORTGAGE FINANCIAL GROUP, CORPORATION",303,244,56005:210; 56011:15; 56045:7; 56019:4; 56033:4,117,106,14,7,0,47.95,43.44,5.74,national
2025,WY,549300QG83M0EX7VC434,Pinnacle Bank - Wyoming,318,244,56029:92; 56005:25; 56015:22; 56043:21; 56021:17,190,29,11,14,0,77.87,11.89,4.51,national
2025,WY,549300LYRWPSYPK6S325,FREEDOM MORTGAGE CORPORATION,512,242,56021:55; 56005:37; 56025:35; 56037:19; 56033:17,23,87,132,0,0,9.5,35.95,54.55,national
2025,WY,549300WRB87J6ZL6CO07,WESTERN VISTA,293,237,56025:179; 56021:37; 56009:12; 56031:4; 56007:2,171,52,14,0,0,72.15,21.94,5.91,national
2025,WY,549300KJI3KX8KY2FG10,Hilltop National Bank,263,219,56025:192; 56009:14; 56021:6; 56041:2; 56005:1,153,50,16,0,0,69.86,22.83,7.31,national
2025,WY,549300VZVN841I2ILS84,"CROSSCOUNTRY MORTGAGE, LLC",305,207,56025:89; 56021:73; 56037:8; 56041:6; 56009:6,61,96,48,2,0,29.47,46.38,23.19,national
2025,WY,RVDPPPGHCGZ40J4VQ731,"PENNYMAC LOAN SERVICES, LLC",354,185,56021:48; 56025:22; 56005:15; 56041:13; 56037:13,114,43,28,0,0,61.62,23.24,15.14,national
2025,WY,549300ZFJ1696ECS0S38,Platte Valley Bank,207,177,56031:62; 56025:46; 56021:38; 56015:19; 56009:6,142,19,13,3,0,80.23,10.73,7.34,national
2025,WY,254900XZCT60J2G3HK85,Blue Federal Credit Union,310,171,56021:156; 56001:5; 56031:2; 56025:2; 56015:1,171,0,0,0,0,100.0,0.0,0.0,national
2025,WY,6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,373,168,56025:33; 56021:29; 56029:20; 56005:15; 56033:15,152,9,7,0,0,90.48,5.36,4.17,national
2025,WY,549300FNXYY540N23N64,Newrez LLC,317,147,56021:48; 56025:29; 56005:15; 56001:7; 56015:6,55,24,66,2,0,37.41,16.33,44.9,national
2025,WY,549300GKFNPRWNS0GF29,"AmeriHome Mortgage Company, LLC",185,146,56029:56; 56021:24; 56003:15; 56013:13; 56043:11,76,28,40,2,0,52.05,19.18,27.4,national
2025,WY,549300KIOYNU323LVJ37,AMERICAN PACIFIC MORTGAGE CORPORATION,191,142,56021:68; 56033:35; 56037:11; 56019:6; 56029:5,71,51,17,3,0,50.0,35.92,11.97,national
2025,WY,549300MZ8VZJOVC63092,"KIND LENDING, LLC",200,139,56033:53; 56021:22; 56005:22; 56025:17; 56019:6,66,31,30,12,0,47.48,22.3,21.58,national
2025,WY,549300AG64NHILB7ZP05,"LOANDEPOT.COM, LLC",221,136,56021:25; 56025:19; 56005:11; 56033:11; 56037:10,102,26,8,0,0,75.0,19.12,5.88,national
2025,WY,549300LBCBNR1OT00651,NATIONSTAR MORTGAGE LLC,177,127,56021:25; 56025:19; 56005:13; 56037:13; 56041:10,105,10,12,0,0,82.68,7.87,9.45,national
2025,WY,549300UHQ3UXVA4AGM53,,177,127,56021:48; 56001:27; 56019:17; 56043:16; 56025:13,127,0,0,0,0,100.0,0.0,0.0,national
2025,WY,549300CB67L6KPJLHE19,"TRIAD FINANCIAL SERVICES, INC.",395,117,56025:49; 56005:38; 56021:17; 56009:5; 56001:2,117,0,0,0,0,100.0,0.0,0.0,national
2025,WY,5493003GQDUH26DNNH17,Navy Federal Credit Union,220,115,56021:43; 56025:14; 56001:8; 56029:8; 56037:7,57,0,58,0,0,49.57,0.0,50.43,national
2025,WY,549300U3721PJGQZYY68,"GUARANTEED RATE, INC.",222,113,56021:41; 56039:28; 56013:17; 56023:10; 56001:5,80,23,9,1,0,70.8,20.35,7.96,national
2025,WY,549300KJ8PAJ7E52HG32,Plains Commerce Bank,180,110,56033:25; 56007:23; 56013:22; 56045:11; 56005:7,73,24,10,3,0,66.36,21.82,9.09,national
2025,WY,254900KI7219LQKCI772,First Western Trust Bank,140,105,56021:64; 56039:27; 56023:4; 56025:4; 56001:2,53,29,23,0,0,50.48,27.62,21.9,national
2025,WY,254900UFC85SQD8XYU52,,134,102,56033:86; 56019:6; 56025:5; 56005:2; 56031:1,96,5,1,0,0,94.12,4.9,0.98,national
2025,WY,3Y4U8VZURTYWI1W2K376,BMO Bank National Association,218,98,56021:22; 56037:14; 56013:13; 56041:12; 56031:8,94,4,0,0,0,95.92,4.08,0.0,national
2025,WY,549300VQUTI5IU7GXT57,SECURITYNATIONAL MORTGAGE COMPANY,110,89,56007:54; 56023:16; 56045:7; 56041:7; 56029:1,35,37,6,11,0,39.33,41.57,6.74,national
